redshift luminosity_distance mass_1_source mass_2_source chi_eff chi_1 chi_2 mass_1 mass_2 radius_1 radius_2 lambda_1 lambda_2 theta_jn phase psi ra dec geocent_time prompt_collapse inclination_EM log10_mej_dyn v_ej_dyn Ye_dyn log10_mdisk log10_mej_wind v_ej_wind Ye_wind chi_BH Ebv trigger_time redshift luminosity_distance prompt_collapse has_grb thetaCore log10_Ekin_iso log10_n0 afterglow_detected snr
0.0675178068121922 314.28899940556977 1.3694151094539848 1.3460439825090091 0.0018087376552555 0.0 0.0036488801070113 1.461875014259796 1.4369259200807665 12.168047280273212 12.173955533383324 439.4340199860591 486.91215167792745 2.6873422918819565 4.6341186984351 1.4606956433591538 4.056937116716585 0.7120579779282747 2221563938.0208287 2 0.4542503617078368 -2.28409531110814 0.2037277811580436 0.2498918995378215 -0.7535879590548162 -0.9402293255399468 0.1051218015744362 0.309794949540658 0.6799953848327193 0.01901559 69956.54579885218 0.0675178068121922 314.28899940556977 2 False 0.1973059845945435 51.246724888892906 -2.580300748215823 False 79.506
0.4659737497045907 2685.2770203827545 1.3503815652374005 1.3210557133027514 0.0042982159794196 0.00850308882632 0.0 1.9796239267230265 1.936632997599108 12.172478470105794 12.178386723215905 478.4299878201598 545.3703011883302 2.8227570752172726 2.05631567316347 2.035447020744915 3.05321129917512 0.5449190149284561 2221273322.7382684 3 0.3188355783725208 -2.297230154843254 0.1990241159910823 0.2402727280191832 -0.7557996753002678 -0.933240038196979 0.1464125680259208 0.2730626405643135 0.6603069016106924 0.020913165 69953.18219604477 0.4659737497045907 2685.2770203827545 3 False 0.2132795902363621 51.1297912768798 -1.362324283682316 True 12.078
0.2076959412460591 1056.1169681883548 1.3327166311097107 1.2186810748641923 0.0080521859024808 0.015415376502474 0.0 1.609516466222319 1.47179618778687 12.175432596660851 12.191680292713654 518.3014488189851 875.4724776421041 0.5800710426562201 0.918536470794688 1.643664080048457 3.1277133812216578 0.5351423651746676 2221620851.1464243 3 0.5800710426562201 -2.3161637276910145 0.1861684910959058 0.2277060270245464 -0.7672026187552057 -1.1087893626660104 0.0899531001604799 0.2143485305497139 0.5938329271686191 0.017428214 69957.20451558361 0.2076959412460591 1056.1169681883548 3 False 0.0945456790979603 51.91734160784142 -0.0300782324305863 False 22.717
0.2568893910754447 1342.2475005590777 1.379868890747237 1.328603593174986 0.0153103195725679 0.0300518256193893 0.0 1.734342569855244 1.669907761206356 12.166570216995686 12.176909659938378 419.2944264443562 527.5595804166405 0.3844618802327643 3.24178157692182 2.6611556432359373 5.304463387840105 -0.701766979002558 2227218798.62994 3 0.3844618802327643 -2.277271677289586 0.2029808994775838 0.2308921652105092 -0.7632999991528909 -1.628008933090055 0.1149613757346191 0.3421940350274395 0.676483786144583 0.05584804 70021.99557442061 0.2568893910754447 1342.2475005590777 3 True 0.2276332528694904 51.53237577259369 -0.6230443008988189 True 20.989
0.186830778081771 938.6080361556056 1.3463795436896266 1.3054146680481575 0.0065258026571362 0.0128530515739372 0.0 1.5979246814305397 1.5493063061989516 12.173955533383324 12.179863786493437 486.4022080497507 586.4505577597062 2.0285116662230984 0.7767725008762815 2.556745300204797 0.1508317079367525 0.1444686022566438 2221397983.651757 3 1.1130809873666947 -2.302423858630154 0.196933968237324 0.283596148724766 -0.7600367251640782 -0.968570102135492 0.0755640074404987 0.3011207716240184 0.6508034252136392 0.049647585 69954.62503069163 0.186830778081771 938.6080361556056 3 False 0.0937029583001941 51.87968313370664 -1.3910792778042431 False 16.8
0.4005667433867061 2244.8023167271194 1.416194909381738 1.3355814446987255 0.0066466752570451 0.0 0.013694532728189 1.983475492233612 1.8705709545294065 12.156395423341396 12.175432596660851 356.2206071349064 510.7201489504316 0.1216394601303898 2.1833286743500264 0.4302181181289189 2.202025797825437 -0.1609658997615115 2236642642.126836 2 0.1216394601303898 -2.254425660410925 0.2076640102007987 0.1865683338369991 -0.7694230363280428 -1.040209755185772 0.13837416584347 0.2771447327332911 0.6937885624367479 0.050713107 70131.06783711615 0.4005667433867061 2244.8023167271194 2 True 0.1295470260227428 51.72335369803754 -4.481771376781659 True 20.125
0.3847724660789315 2141.064234606425 1.386668223732936 1.3749903465158848 0.0204765245176267 0.0407806052343095 0.0 1.9202199758119487 1.9040487729795263 12.165093153718155 12.166570216995686 405.7616361907911 427.9854072589769 2.5902184591412523 3.649782224077575 0.0243714402350741 1.5272022721528278 0.5559499334197248 2234948329.7081933 3 0.5513741944485411 -2.2782525404629297 0.2086771070200005 0.3298233266937783 -0.7490803328516032 -1.2358052423435604 0.0568835237926817 0.2368098627943989 0.6990588592241681 0.48452222 70111.45773967817 0.3847724660789315 2141.064234606425 3 True 0.3569928175494424 51.03794815549561 -2.2414415007930617 True 13.978
0.2683237532631938 1410.520751308159 1.3718019403816977 1.204015953563382 0.0062644258533811 0.0117626457095851 0.0 1.739888985758647 1.527082033212272 12.168047280273212 12.192889070137657 434.8283472822783 937.7232198906798 2.642881955266032 2.239027313171426 1.2069180316179178 5.3625798886866844 0.1956567964024089 2226415226.548652 4 0.4987106983237611 -2.231422241570389 0.1886733922568564 0.3135194801301768 -0.7451739274616376 -0.943756055033528 0.1348130123025859 0.3788304875710359 0.6039445012858344 0.13858007 70012.69497162792 0.2683237532631938 1410.520751308159 4 False 0.3411905631083727 50.69032182529628 -4.095249097773395 True 18.645
0.3980331551205867 2228.09071532403 1.4061063287191635 1.3275918785060692 0.0153187902642664 0.0 0.0315435414755688 1.965783267174277 1.8560174626203063 12.160661963885577 12.176909659938378 372.3611253836383 530.1544092810155 0.1751180985975357 3.5286098508328787 0.8322648667619211 1.9702487419268493 1.0239026358498773 2216131692.1331134 2 0.1751180985975357 -2.257917546952753 0.2056969260329616 0.2534402836162016 -0.7690523289549677 -1.220993676564473 0.0723471766149413 0.396221395574052 0.6864518978208138 0.050124053 69893.67258255919 0.3980331551205867 2228.09071532403 2 True 0.3615332289640905 51.00391719414317 -0.1086655734723747 True 37.977
0.135612245490427 660.3792790578775 1.3998716425772182 1.3285167067764223 0.0387681816656471 0.0 0.0796186112245692 1.5897113794254871 1.50867984055392 12.162139027163102 12.176909659938378 383.45047423004473 527.6009711813106 1.210095347348531 5.579129544442316 2.4012348975548816 4.727051229768162 -0.525371235336775 2232734370.6089435 2 1.210095347348531 -2.26299996017282 0.2051210065287955 0.1780960531586312 -0.767964828045217 -1.152057532778244 0.0529161127680251 0.240547238843326 0.684446672323195 0.62595606 70085.83321306648 0.135612245490427 660.3792790578775 2 True 0.0468070745699639 52.70497151540686 -2.0260112486962805 True 20.885
0.1017627996476664 484.8263702662004 1.3804578361419122 1.3735023659138048 0.0048661192739729 0.0097077204881759 0.0 1.5209370903432728 1.5132738119918872 12.166570216995686 12.168047280273212 417.1222463346178 431.50943799264354 0.8087943444908596 1.5396522985441643 0.0354994392513132 1.3726099162841152 0.5034079048422394 2227993220.9756126 2 0.8087943444908596 -2.27932216153544 0.2078372598979849 0.2287468610256744 -0.7468997428985914 -1.178384647218498 0.0689376345518678 0.2028200784720329 0.6959934923544522 0.5569082 70030.95879601403 0.1017627996476664 484.8263702662004 2 True 0.0381603273469816 52.96352050147812 -3.4232220241930627 True 40.105
0.2690911850119842 1415.126246319996 1.4297777997045962 1.3374901011666565 0.0008009407198411 0.0015501832137658 0.0 1.8145184021309333 1.6973968974313909 12.153276647497934 12.175432596660851 336.0293402250017 506.6178011134475 2.7005494695525085 0.3935884564683253 0.8349435935458839 3.824811070161711 0.1960324934601448 2221028955.0238576 3 0.4410431840372847 -2.2458596676529035 0.2093351072680184 0.1767152248504835 -0.7704617810980555 -1.2933870423419536 0.074492728621082 0.2845104565847041 0.6994534973160137 0.023623576 69950.35386601687 0.2690911850119842 1415.126246319996 3 True 0.3207316386234703 51.15936509084919 -4.628523564399332 True 28.236
