2050-07-15T20:33:21.526 2massj 23.762626 0.010000
2050-07-16T03:08:44.326 2massj 23.644477 0.023145
2050-07-16T06:04:47.076 2massj 23.839619 0.136285
2050-07-17T06:01:32.739 2massj 24.008135 0.020562
2050-07-18T02:49:46.878 2massj 24.309519 0.076293
2050-07-15T16:21:54.211 besselli 23.702009 0.162758
2050-07-15T18:52:36.030 besselli 23.492216 0.045601
2050-07-15T23:32:12.748 besselli 23.371344 0.010000
2050-07-17T03:22:44.717 besselli 24.874480 0.070121
2050-07-17T22:20:25.363 besselli 25.532584 0.076240
2050-07-18T21:11:25.763 besselli 26.404465 0.010000
2050-07-19T19:36:15.749 besselli 22.385734 inf
2050-07-15T15:05:26.635 bessellv 23.292153 0.038279
2050-07-15T20:32:35.499 bessellv 23.293768 0.038961
2050-07-16T11:40:09.099 bessellv 25.940621 0.241599
2050-07-18T02:56:58.029 bessellv 28.589317 0.110389
2050-07-20T00:22:32.383 bessellv 29.500000 inf
2050-07-20T06:49:27.921 bessellv 29.500000 inf
2050-07-15T13:53:47.184 bessellux 17.990745 inf
2050-07-15T22:08:21.750 bessellux 25.239937 0.036988
2050-07-18T03:42:59.797 bessellux 26.000000 inf
2050-07-20T10:50:09.375 bessellux 26.000000 inf
2050-07-20T14:20:32.672 bessellux 26.000000 inf
2050-07-20T20:06:20.208 bessellux 26.000000 inf
2050-07-21T16:24:17.344 bessellux 26.000000 inf
