redshift luminosity_distance mass_1_source mass_2_source chi_eff chi_1 chi_2 mass_1 mass_2 radius_1 radius_2 lambda_1 lambda_2 theta_jn phase psi ra dec geocent_time prompt_collapse inclination_EM log10_mej_dyn v_ej_dyn Ye_dyn log10_mdisk log10_mej_wind v_ej_wind Ye_wind chi_BH Ebv trigger_time has_grb thetaCore log10_Ekin_iso log10_n0 redshift_measured afterglow_detected snr
0.0742175605830262 347.0804477685055 1.684414512454898 1.3110329066399653 -0.0039304431918903 0.0133130923161144 -0.026084930168235 1.809427648579948 1.4083345708148578 12.029203332185608 12.179863786493437 109.24313655546344 570.8542540006879 1.0555323994663928 1.0959109980162325 1.2213468577145858 5.536013192301214 -1.230760325694745 2230762428.530396 1 1.0555323994663928 -3.3627555746897766 0.2333581312227681 0.206555695627705 -1.4274561821970475 -1.9965441754968325 0.0641363649126992 0.3158315521349072 0.7537363075146862 0.036520954 70063.00980937958 True 0.0515883380940044 52.20857333788519 -1.4370814211678449 0.075096063521111 True 159.593
0.2972067358615938 1585.8351650486034 1.369255032279486 1.317887092684908 -0.0193624754010342 0.0123920334932995 -0.0523546955559103 1.7762068509853333 1.7095720137359152 12.168047280273212 12.178386723215905 439.5456057124239 553.2202496076262 3.10761571751802 3.871064635300496 2.918870850001345 5.266143366003309 -0.6968740655292615 2215584740.851566 4 0.0339769360717736 -2.283634238986133 0.2007148369487219 0.2767033481404821 -0.9044394522260016 -1.3545200102758823 0.0857856919268448 0.3909959345841217 0.6670896450747759 0.07986579 69887.34212791164 False 0.0583182912029337 52.41904389344597 -1.9436948427316716 0.2959307218713119 True 67.555
0.1775719105425461 887.2229808736623 1.940085542235036 1.1989975758473697 0.0202558079216578 0.0365829657197844 -0.0061629967765493 2.284590238585683 1.4119058661264683 11.725822404379736 12.193157355991184 32.71320985008873 960.6723673876186 0.6102537736631064 4.851415624715484 0.0086412554026075 5.710974331545021 0.6513181124338812 2232797617.7068186 1 0.6102537736631064 -3.458559545285236 0.2265485719765265 0.1764704192384191 -1.0 -1.568584567327853 0.1265595011084327 0.2900409429920294 0.7346661493039501 0.22290069 70086.56523966225 True 0.1182988465594936 51.92534636735613 -4.656584046194398 0.17788226290578177 True 78.057
0.1735421721709595 865.0064731932683 1.468855269408574 1.1926975000655486 0.0298080863783492 0.0328585906489559 0.0260512668394573 1.723763603466498 1.3996808149697972 12.141460141277715 12.193157355991184 281.90829362801446 989.426980336828 2.3116097781136618 0.7623425327479346 2.352803272149815 0.3209019816571925 -0.2249745988739651 2235735609.670788 3 0.8299828754761314 -2.0507902553516995 0.1979828468946753 0.1701378946046551 -0.6985794743422165 -0.982008550237586 0.065078450948972 0.288488014421035 0.637454663383441 0.020739019 70120.56977628227 False 0.0463660180937773 52.61066576519755 -3.701896296365351 0.17147336616550238 True 58.763
0.1690887872579637 840.5593828064289 1.2763903485710526 1.1822895469341956 0.0450375953567157 0.0465059306453616 0.0434523923108512 1.4922136446787015 1.3822014526130664 12.18429497632602 12.194634419268713 670.1809995695415 1039.3497141888265 0.7920544813124675 1.5872267528114845 0.1767885229376489 2.7013896567954845 0.203595304177405 2220286674.040738 4 0.7920544813124675 -2.451872863863019 0.1763416917265681 0.1508860239202308 -0.7783751476479586 -1.082813918358477 0.0789533683633587 0.3568639496922431 0.5338258588992025 0.03518126 69941.76265093447 False 0.0945911477570001 51.801294986122926 -2.5300906680703457 0.1681575593243327 False 73.945
0.1850821307957331 928.8672759593584 1.3456693876227055 1.2221694523115934 0.0383371921455332 0.0133339374712142 0.0658670198159334 1.5947287452305052 1.448371178738877 12.173955533383324 12.190203229436127 488.2064638195546 861.1911030347914 1.8141814414025752 4.562665493975759 3.1269986541419947 3.33896859485361 -0.343453249389915 2239806358.206879 3 1.327411212187218 -2.292228459656655 0.1879090807872185 0.3415262677841609 -0.7938600697296998 -1.090060041457435 0.0995285988854347 0.3493513560081326 0.6029330507288403 0.052085537 70167.68492137591 False 0.0898396819122635 51.954039973464674 -3.545109925755786 0.18068330685168518 False 32.103
0.3708723543353697 2050.646947146559 1.5396199789344631 1.1503363815695968 0.0182241669008155 0.0553286569519706 -0.0314367975841863 2.1106224653036603 1.5769643436799434 12.113395939004688 12.196111482546238 206.70749562619145 1213.223457554704 0.4340902689024051 0.6753174527024561 3.00794877267825 5.885421192108437 -0.14250527133725 2220819085.5707307 4 0.4340902689024051 -1.891116652611307 0.2013932309492552 0.2095503332737336 -0.5865639643462399 -0.8062657712160198 0.1443506910081672 0.2169010373485912 0.6332475391376862 0.050302655 69947.9248214205 False 0.194881226718676 51.37685804243766 -3.553724505107205 0.3679081580658182 False 33.439
0.2463332487397861 1279.7998546745257 1.919890945346464 1.2108298176760424 0.0343396170194505 0.1126118316637318 -0.089768753929155 2.392823919139758 1.509097460335185 11.761854878953097 12.191680292713654 36.28834085695529 908.3257752720078 0.6743279504660443 5.750175772640046 1.3298420642575637 4.955573961474855 -0.5110789095660859 2229347337.051407 1 0.6743279504660443 -3.446666375738946 0.2277005777211717 0.2357248043450723 -1.0 -1.614020989526716 0.1401284745104767 0.253079248352533 0.7390656054535498 0.1656059 70046.63143578017 True 0.1471051156734253 51.76503462521272 -4.470798276631454 0.24962374889461825 True 89.119
0.0859588838497393 405.22364255401607 1.9636193559305768 1.1447451131126205 -0.0404967103272114 -0.0825991194868782 0.0317229520327684 2.132409884072114 1.2431461253282248 11.679139335411543 12.196111482546238 28.805257554533227 1246.0899781437236 1.906035549584388 4.138243224849251 3.066922457680972 4.57995811841359 -0.2156075869535662 2226157034.4385705 1 1.2355571040054052 -3.4527580635161934 0.2158614379679837 0.2963351037601672 -1.0 -2.048059265514352 0.1134905849532532 0.2205763874570699 0.7050006966346691 0.7254539 70009.70663702048 True 0.1103990043138291 51.98129685991523 -3.942744508147111 0.085134654337601 True 102.035
0.2162539695132042 1104.9889464316304 1.4221857247583576 1.3365879695003489 0.0052917266016853 -0.0188991483024831 0.0310318333086046 1.7297390331223657 1.6256304235083927 12.155793685479845 12.175432596660851 347.3682090419029 508.7301147122028 0.4422849237734161 2.6168625681246045 1.0985969992798323 1.3745024160862338 -0.0008716149554981 2215025921.313286 2 0.4422849237734161 -2.250704301775525 0.2084075909944156 0.3431694519792234 -1.041855163033243 -1.546214183485095 0.1110369997910823 0.2724939036959355 0.6963571849426748 0.10222444 69880.87430918156 True 0.0938491884362706 51.94973703671317 -2.439122059388254 0.21526834795456326 True 43.628
