476
1.67747e+03 5.09639e+21 1.000000000000000e+00 9.999999999999999e+26
1.77829e+03 5.09726e+21 5.033340962972628e+14 1.060800892212552e+27
1.88525e+03 5.09807e+21 9.416045928552742e+14 1.125298532918945e+27
1.99871e+03 5.09910e+21 1.469172172897663e+15 1.193717687725893e+27
2.11907e+03 5.10022e+21 2.013895438036789e+15 1.266296788189531e+27
2.24674e+03 5.10148e+21 2.591752612012340e+15 1.343288762717343e+27
2.38218e+03 5.10283e+21 3.171732475254605e+15 1.424961917989652e+27
2.52586e+03 5.10439e+21 3.807272933704076e+15 1.511600873972332e+27
2.67827e+03 5.10611e+21 4.467741233354466e+15 1.603507555779123e+27
2.83995e+03 5.10799e+21 5.146481752557407e+15 1.701002245840061e+27
3.01146e+03 5.11014e+21 5.883389351336467e+15 1.804424700042691e+27
3.19339e+03 5.11250e+21 6.642690109705596e+15 1.914135331735652e+27
3.38640e+03 5.11512e+21 7.437060044936207e+15 2.030516467720749e+27
3.59113e+03 5.11809e+21 8.287990491033425e+15 2.153973680610449e+27
3.80832e+03 5.12133e+21 9.164197117299032e+15 2.284937202193918e+27
4.03871e+03 5.12497e+21 1.009016254674066e+16 2.423863422736959e+27
4.28312e+03 5.12905e+21 1.106979355976112e+16 2.571236481440736e+27
4.54238e+03 5.13351e+21 1.208189637811437e+16 2.727569953601795e+27
4.81741e+03 5.13853e+21 1.315433185964081e+16 2.893408640352932e+27
5.10916e+03 5.14411e+21 1.427829892007823e+16 3.069330467221896e+27
5.41866e+03 5.15025e+21 1.544433315156546e+16 3.255948498124156e+27
5.74697e+03 5.15713e+21 1.667650906869134e+16 3.453913071808222e+27
6.09525e+03 5.16473e+21 1.795958169855998e+16 3.663914068198756e+27
6.46470e+03 5.17312e+21 1.929452628283576e+16 3.886683312535360e+27
6.85663e+03 5.18246e+21 2.069724687479183e+16 4.122997125685147e+27
7.27238e+03 5.19273e+21 2.215135137648523e+16 4.373679029516590e+27
7.71342e+03 5.20407e+21 2.366507496783132e+16 4.639602616762525e+27
8.18128e+03 5.21663e+21 2.524483865630948e+16 4.921694595373376e+27
8.67758e+03 5.23038e+21 2.687675483636420e+16 5.220938017969770e+27
9.20407e+03 5.24554e+21 2.857232508268858e+16 5.538375707648763e+27
9.76257e+03 5.26220e+21 3.032960211177160e+16 5.875113892082129e+27
1.03550e+04 5.28039e+21 3.213909880956898e+16 6.232326058571079e+27
1.09835e+04 5.30037e+21 3.401174204176922e+16 6.611257043491737e+27
1.16502e+04 5.32218e+21 3.593995429506164e+16 7.013227370382551e+27
1.23575e+04 5.34593e+21 3.791896954101619e+16 7.439637851791298e+27
1.31077e+04 5.37186e+21 3.995639978438655e+16 7.891974470918480e+27
1.39036e+04 5.40001e+21 4.204211091140678e+16 8.371813560069004e+27
1.47479e+04 5.43056e+21 4.417536500645492e+16 8.880827293958337e+27
1.56435e+04 5.46373e+21 4.635930732214312e+16 9.420789517016584e+27
1.65936e+04 5.49957e+21 4.858385472468296e+16 9.993581924997846e+27
1.76014e+04 5.53831e+21 5.085102110943293e+16 1.060120062243695e+28
1.86705e+04 5.58016e+21 5.315970842570000e+16 1.124576307880537e+28
1.98047e+04 5.62519e+21 5.550168905944200e+16 1.192951550760771e+28
2.10078e+04 5.67370e+21 5.788017596158699e+16 1.265484069413372e+28
