6.643341999999999858e-01 1.229802884869565105e+01 2.008322999999999956e+04
6.645208999999999699e-01 1.229802884869565105e+01 2.006247999999999956e+04
6.647075999999999540e-01 1.229802884869565105e+01 2.004393000000000029e+04
6.648943999999999965e-01 1.229802884869565105e+01 2.000833000000000175e+04
6.650812000000000390e-01 1.229802884869565105e+01 1.997886000000000058e+04
6.652681000000000289e-01 1.229802884869565105e+01 1.995413000000000102e+04
6.654550000000000187e-01 1.229802884869565105e+01 1.992447000000000116e+04
6.656419000000000086e-01 1.229802884869565105e+01 1.990043999999999869e+04
6.658288999999999458e-01 1.229802884869565105e+01 1.987554999999999927e+04
6.660158999999999940e-01 1.229802884869565105e+01 1.984390000000000146e+04
6.662029999999999896e-01 1.229655178541812077e+01 1.981774000000000160e+04
6.663900999999999852e-01 1.229655178541812077e+01 1.979938999999999942e+04
6.665771999999999808e-01 1.229655178541812077e+01 1.977259000000000015e+04
6.667644000000000348e-01 1.229655178541812077e+01 1.974154999999999927e+04
6.669515999999999778e-01 1.229655178541812077e+01 1.970997999999999956e+04
6.671388000000000318e-01 1.229655178541812077e+01 1.968675000000000000e+04
6.673261000000000331e-01 1.229655178541812077e+01 1.966088999999999942e+04
6.675134000000000345e-01 1.229655178541812077e+01 1.963427999999999884e+04
6.677007999999999832e-01 1.229655178541812077e+01 1.960911000000000058e+04
6.678882000000000430e-01 1.229655178541812077e+01 1.957861999999999898e+04
6.680755999999999917e-01 1.229507472214059405e+01 1.955550999999999840e+04
6.682630999999999988e-01 1.229507472214059405e+01 1.953458000000000175e+04
6.684506000000000059e-01 1.229507472214059405e+01 1.950550999999999840e+04
6.686381000000000130e-01 1.229507472214059405e+01 1.947347000000000116e+04
6.688256999999999675e-01 1.229507472214059405e+01 1.944743999999999869e+04
6.690133000000000330e-01 1.229507472214059405e+01 1.942399000000000160e+04
6.692010000000000458e-01 1.229507472214059405e+01 1.939679999999999927e+04
6.693886999999999476e-01 1.229507472214059405e+01 1.937131000000000131e+04
6.695763999999999605e-01 1.229507472214059405e+01 1.934306999999999971e+04
6.697642000000000317e-01 1.229507472214059405e+01 1.931672000000000116e+04
6.699519999999999920e-01 1.229359765886306732e+01 1.929845000000000073e+04
6.701399000000000106e-01 1.229359765886306732e+01 1.927208000000000175e+04
6.703278000000000292e-01 1.229359765886306732e+01 1.924140000000000146e+04
6.705157000000000478e-01 1.229359765886306732e+01 1.921170999999999913e+04
6.707037000000000138e-01 1.229359765886306732e+01 1.918811999999999898e+04
6.708916999999999797e-01 1.229359765886306732e+01 1.916363999999999942e+04
6.710798000000000041e-01 1.229359765886306732e+01 1.913761000000000058e+04
