# MvsR for tab1d_cold /home/gieg/projects/eos/RMF3/RMF3_TOV.d
# p_c, R_iso, M, Mb, R, Lambda, e_c, R_inv
 1.214637e-04 7.102550e+00 1.111930e+00 1.195907e+00 8.258000e+00 1.463299e+03 1.148241e-03 9.004874e+00
 1.215170e-04 7.102282e+00 1.112178e+00 1.196197e+00 8.258000e+00 1.462605e+03 1.148415e-03 9.005037e+00
 1.215702e-04 7.102013e+00 1.112426e+00 1.196486e+00 8.258000e+00 1.460784e+03 1.148590e-03 9.005200e+00
 1.216235e-04 7.101744e+00 1.112673e+00 1.196776e+00 8.258000e+00 1.457559e+03 1.148765e-03 9.005363e+00
 1.216768e-04 7.101476e+00 1.112921e+00 1.197066e+00 8.258000e+00 1.455875e+03 1.148940e-03 9.005526e+00
 1.217301e-04 7.101207e+00 1.113169e+00 1.197356e+00 8.258000e+00 1.454700e+03 1.149115e-03 9.005690e+00
 1.217834e-04 7.100938e+00 1.113416e+00 1.197646e+00 8.258000e+00 1.454092e+03 1.149290e-03 9.005853e+00
 1.218368e-04 7.100669e+00 1.113664e+00 1.197936e+00 8.258000e+00 1.451260e+03 1.149465e-03 9.006016e+00
 1.218902e-04 7.100400e+00 1.113912e+00 1.198226e+00 8.258000e+00 1.449061e+03 1.149640e-03 9.006179e+00
 1.219436e-04 7.100132e+00 1.114160e+00 1.198517e+00 8.258000e+00 1.447785e+03 1.149815e-03 9.006343e+00
 1.219971e-04 7.099863e+00 1.114408e+00 1.198807e+00 8.258000e+00 1.446572e+03 1.149990e-03 9.006506e+00
 1.220505e-04 7.099594e+00 1.114655e+00 1.199097e+00 8.258000e+00 1.444626e+03 1.150166e-03 9.006669e+00
 1.221040e-04 7.099325e+00 1.114903e+00 1.199387e+00 8.258000e+00 1.441205e+03 1.150341e-03 9.006833e+00
 1.221575e-04 7.099056e+00 1.115151e+00 1.199677e+00 8.258000e+00 1.440162e+03 1.150516e-03 9.006996e+00
 1.222110e-04 7.098787e+00 1.115399e+00 1.199968e+00 8.258000e+00 1.439065e+03 1.150692e-03 9.007160e+00
 1.222646e-04 7.098518e+00 1.115647e+00 1.200258e+00 8.258000e+00 1.438224e+03 1.150867e-03 9.007323e+00
 1.223182e-04 7.098249e+00 1.115895e+00 1.200548e+00 8.258000e+00 1.435224e+03 1.151043e-03 9.007487e+00
 1.223718e-04 7.097980e+00 1.116142e+00 1.200839e+00 8.258000e+00 1.432503e+03 1.151218e-03 9.007650e+00
 1.224254e-04 7.097711e+00 1.116390e+00 1.201129e+00 8.258000e+00 1.431362e+03 1.151394e-03 9.007814e+00
 1.224790e-04 7.097442e+00 1.116638e+00 1.201419e+00 8.258000e+00 1.431008e+03 1.151570e-03 9.007978e+00
 1.225327e-04 7.097172e+00 1.116886e+00 1.201710e+00 8.258000e+00 1.429676e+03 1.151745e-03 9.008141e+00
 1.225864e-04 7.096903e+00 1.117134e+00 1.202000e+00 8.258000e+00 1.425455e+03 1.151921e-03 9.008305e+00
 1.226401e-04 7.096634e+00 1.117382e+00 1.202291e+00 8.258000e+00 1.424495e+03 1.152097e-03 9.008469e+00
 1.226938e-04 7.096365e+00 1.117630e+00 1.202581e+00 8.258000e+00 1.423046e+03 1.152273e-03 9.008632e+00
 1.227476e-04 7.096096e+00 1.117878e+00 1.202872e+00 8.258000e+00 1.422331e+03 1.152449e-03 9.008796e+00
 1.228014e-04 7.095826e+00 1.118126e+00 1.203162e+00 8.258000e+00 1.420109e+03 1.152625e-03 9.008960e+00
 1.228552e-04 7.095557e+00 1.118374e+00 1.203453e+00 8.258000e+00 1.417099e+03 1.152801e-03 9.009124e+00
 1.229090e-04 7.095288e+00 1.118622e+00 1.203744e+00 8.258000e+00 1.415441e+03 1.152977e-03 9.009288e+00
 1.229629e-04 7.095019e+00 1.118870e+00 1.204035e+00 8.258000e+00 1.414494e+03 1.153153e-03 9.009451e+00
 1.230168e-04 7.094749e+00 1.119119e+00 1.204325e+00 8.258000e+00 1.413711e+03 1.153329e-03 9.009615e+00
 1.230707e-04 7.094480e+00 1.119367e+00 1.204616e+00 8.258000e+00 1.410302e+03 1.153506e-03 9.009779e+00
 1.231246e-04 7.094211e+00 1.119615e+00 1.204907e+00 8.258000e+00 1.409513e+03 1.153682e-03 9.009943e+00
 1.231786e-04 7.093941e+00 1.119863e+00 1.205198e+00 8.258000e+00 1.407746e+03 1.153858e-03 9.010107e+00
 1.232325e-04 7.093672e+00 1.120111e+00 1.205488e+00 8.258000e+00 1.406674e+03 1.154035e-03 9.010271e+00
 1.232865e-04 7.093402e+00 1.120359e+00 1.205779e+00 8.258000e+00 1.404373e+03 1.154211e-03 9.010435e+00
 1.233406e-04 7.093133e+00 1.120607e+00 1.206070e+00 8.258000e+00 1.401113e+03 1.154388e-03 9.010599e+00
 1.233946e-04 7.092863e+00 1.120856e+00 1.206361e+00 8.258000e+00 1.400371e+03 1.154564e-03 9.010764e+00
 1.234487e-04 7.092594e+00 1.121104e+00 1.206652e+00 8.258000e+00 1.399128e+03 1.154741e-03 9.010928e+00
 1.235028e-04 7.092324e+00 1.121352e+00 1.206943e+00 8.258000e+00 1.398432e+03 1.154918e-03 9.011092e+00
 1.235569e-04 7.092055e+00 1.121600e+00 1.207234e+00 8.258000e+00 1.394947e+03 1.155094e-03 9.011256e+00
 1.236110e-04 7.091785e+00 1.121849e+00 1.207525e+00 8.258000e+00 1.393344e+03 1.155271e-03 9.011420e+00
 1.236652e-04 7.091516e+00 1.122097e+00 1.207816e+00 8.258000e+00 1.392208e+03 1.155448e-03 9.011585e+00
 1.237194e-04 7.091246e+00 1.122345e+00 1.208107e+00 8.258000e+00 1.391772e+03 1.155625e-03 9.011749e+00
 1.237736e-04 7.090976e+00 1.122593e+00 1.208398e+00 8.258000e+00 1.389781e+03 1.155802e-03 9.011913e+00
 1.238279e-04 7.090707e+00 1.122842e+00 1.208689e+00 8.258000e+00 1.385620e+03 1.155979e-03 9.012077e+00
 1.238821e-04 7.090437e+00 1.123090e+00 1.208981e+00 8.258000e+00 1.384995e+03 1.156156e-03 9.012242e+00
 1.239364e-04 7.090167e+00 1.123338e+00 1.209272e+00 8.258000e+00 1.383493e+03 1.156333e-03 9.012406e+00
 1.239907e-04 7.089897e+00 1.123587e+00 1.209563e+00 8.258000e+00 1.383090e+03 1.156510e-03 9.012571e+00
 1.240450e-04 7.089628e+00 1.123835e+00 1.209854e+00 8.258000e+00 1.380468e+03 1.156688e-03 9.012735e+00
 1.240994e-04 7.089358e+00 1.124084e+00 1.210146e+00 8.258000e+00 1.378228e+03 1.156865e-03 9.012900e+00
 1.241538e-04 7.089088e+00 1.124332e+00 1.210437e+00 8.258000e+00 1.376340e+03 1.157042e-03 9.013064e+00
 1.242082e-04 7.088818e+00 1.124580e+00 1.210729e+00 8.258000e+00 1.375484e+03 1.157220e-03 9.013229e+00
 1.242626e-04 7.088548e+00 1.124829e+00 1.211020e+00 8.258000e+00 1.374458e+03 1.157397e-03 9.013393e+00
 1.243171e-04 7.088279e+00 1.125077e+00 1.211311e+00 8.258000e+00 1.370899e+03 1.157575e-03 9.013558e+00
 1.243715e-04 7.088009e+00 1.125326e+00 1.211603e+00 8.258000e+00 1.370577e+03 1.157752e-03 9.013722e+00
 1.244260e-04 7.087739e+00 1.125574e+00 1.211894e+00 8.258000e+00 1.368573e+03 1.157930e-03 9.013887e+00
 1.244806e-04 7.087469e+00 1.125823e+00 1.212186e+00 8.258000e+00 1.367786e+03 1.158108e-03 9.014052e+00
 1.245351e-04 7.087199e+00 1.126071e+00 1.212477e+00 8.258000e+00 1.365436e+03 1.158286e-03 9.014217e+00
 1.245897e-04 7.086929e+00 1.126320e+00 1.212769e+00 8.258000e+00 1.362611e+03 1.158463e-03 9.014381e+00
 1.246443e-04 7.086659e+00 1.126568e+00 1.213061e+00 8.258000e+00 1.361865e+03 1.158641e-03 9.014546e+00
 1.246989e-04 7.086389e+00 1.126817e+00 1.213352e+00 8.258000e+00 1.360388e+03 1.158819e-03 9.014711e+00
 1.247535e-04 7.086119e+00 1.127066e+00 1.213644e+00 8.258000e+00 1.359672e+03 1.158997e-03 9.014876e+00
 1.248082e-04 7.085849e+00 1.127314e+00 1.213936e+00 8.258000e+00 1.356231e+03 1.159175e-03 9.015041e+00
 1.248629e-04 7.085579e+00 1.127563e+00 1.214227e+00 8.258000e+00 1.354880e+03 1.159354e-03 9.015205e+00
 1.249176e-04 7.085309e+00 1.127811e+00 1.214519e+00 8.258000e+00 1.353493e+03 1.159532e-03 9.015370e+00
 1.249723e-04 7.085038e+00 1.128060e+00 1.214811e+00 8.258000e+00 1.353149e+03 1.159710e-03 9.015535e+00
 1.250271e-04 7.084768e+00 1.128309e+00 1.215103e+00 8.258000e+00 1.351518e+03 1.159888e-03 9.015700e+00
 1.250819e-04 7.084498e+00 1.128557e+00 1.215394e+00 8.258000e+00 1.347492e+03 1.160067e-03 9.015865e+00
 1.251367e-04 7.084228e+00 1.128806e+00 1.215686e+00 8.258000e+00 1.347061e+03 1.160245e-03 9.016030e+00
 1.251915e-04 7.083958e+00 1.129055e+00 1.215978e+00 8.258000e+00 1.345159e+03 1.160424e-03 9.016195e+00
 1.252464e-04 7.083687e+00 1.129303e+00 1.216270e+00 8.258000e+00 1.344670e+03 1.160602e-03 9.016360e+00
 1.253013e-04 7.083417e+00 1.129552e+00 1.216562e+00 8.258000e+00 1.342288e+03 1.160781e-03 9.016526e+00
 1.253562e-04 7.083147e+00 1.129801e+00 1.216854e+00 8.258000e+00 1.339877e+03 1.160960e-03 9.016691e+00
 1.254111e-04 7.082877e+00 1.130050e+00 1.217146e+00 8.258000e+00 1.338347e+03 1.161138e-03 9.016856e+00
 1.254661e-04 7.082606e+00 1.130298e+00 1.217438e+00 8.258000e+00 1.337338e+03 1.161317e-03 9.017021e+00
 1.255210e-04 7.082336e+00 1.130547e+00 1.217730e+00 8.258000e+00 1.336740e+03 1.161496e-03 9.017186e+00
 1.255760e-04 7.082066e+00 1.130796e+00 1.218022e+00 8.258000e+00 1.333572e+03 1.161675e-03 9.017352e+00
 1.256311e-04 7.081795e+00 1.131045e+00 1.218315e+00 8.258000e+00 1.332897e+03 1.161854e-03 9.017517e+00
 1.256861e-04 7.081525e+00 1.131293e+00 1.218607e+00 8.258000e+00 1.330588e+03 1.162033e-03 9.017682e+00
 1.257412e-04 7.081254e+00 1.131542e+00 1.218899e+00 8.258000e+00 1.329637e+03 1.162212e-03 9.017848e+00
 1.257963e-04 7.080984e+00 1.131791e+00 1.219191e+00 8.258000e+00 1.327795e+03 1.162392e-03 9.018013e+00
 1.258514e-04 7.080713e+00 1.132040e+00 1.219483e+00 8.258000e+00 1.324731e+03 1.162571e-03 9.018178e+00
 1.259066e-04 7.080443e+00 1.132289e+00 1.219776e+00 8.258000e+00 1.324489e+03 1.162750e-03 9.018344e+00
 1.259617e-04 7.080172e+00 1.132538e+00 1.220068e+00 8.258000e+00 1.322802e+03 1.162930e-03 9.018509e+00
 1.260169e-04 7.079902e+00 1.132787e+00 1.220360e+00 8.258000e+00 1.322074e+03 1.163109e-03 9.018675e+00
 1.260722e-04 7.079631e+00 1.133036e+00 1.220653e+00 8.258000e+00 1.319220e+03 1.163289e-03 9.018840e+00
 1.261274e-04 7.079361e+00 1.133284e+00 1.220945e+00 8.258000e+00 1.317297e+03 1.163468e-03 9.019006e+00
 1.261827e-04 7.079090e+00 1.133533e+00 1.221237e+00 8.258000e+00 1.315741e+03 1.163648e-03 9.019172e+00
 1.262380e-04 7.078819e+00 1.133782e+00 1.221530e+00 8.258000e+00 1.315152e+03 1.163828e-03 9.019337e+00
 1.262933e-04 7.078549e+00 1.134031e+00 1.221822e+00 8.258000e+00 1.314448e+03 1.164007e-03 9.019503e+00
 1.263486e-04 7.078278e+00 1.134280e+00 1.222115e+00 8.258000e+00 1.310716e+03 1.164187e-03 9.019668e+00
 1.264040e-04 7.078007e+00 1.134529e+00 1.222407e+00 8.258000e+00 1.309805e+03 1.164367e-03 9.019834e+00
 1.264594e-04 7.077737e+00 1.134778e+00 1.222700e+00 8.258000e+00 1.307777e+03 1.164547e-03 9.020000e+00
 1.265148e-04 7.077466e+00 1.135027e+00 1.222992e+00 8.258000e+00 1.307300e+03 1.164727e-03 9.020166e+00
 1.265702e-04 7.077195e+00 1.135276e+00 1.223285e+00 8.258000e+00 1.305737e+03 1.164907e-03 9.020331e+00
 1.266257e-04 7.076925e+00 1.135525e+00 1.223578e+00 8.258000e+00 1.302714e+03 1.165088e-03 9.020497e+00
 1.266812e-04 7.076654e+00 1.135774e+00 1.223870e+00 8.258000e+00 1.301914e+03 1.165268e-03 9.020663e+00
 1.267367e-04 7.076383e+00 1.136023e+00 1.224163e+00 8.258000e+00 1.300112e+03 1.165448e-03 9.020829e+00
 1.267922e-04 7.076112e+00 1.136273e+00 1.224456e+00 8.258000e+00 1.299567e+03 1.165629e-03 9.020995e+00
 1.268478e-04 7.075841e+00 1.136522e+00 1.224748e+00 8.258000e+00 1.297179e+03 1.165809e-03 9.021161e+00
 1.269034e-04 7.075570e+00 1.136771e+00 1.225041e+00 8.258000e+00 1.295634e+03 1.165990e-03 9.021327e+00
 1.269590e-04 7.075300e+00 1.137020e+00 1.225334e+00 8.258000e+00 1.294161e+03 1.166170e-03 9.021493e+00
 1.270146e-04 7.075029e+00 1.137269e+00 1.225627e+00 8.258000e+00 1.292543e+03 1.166351e-03 9.021659e+00
 1.270703e-04 7.074758e+00 1.137518e+00 1.225920e+00 8.258000e+00 1.291786e+03 1.166531e-03 9.021825e+00
 1.271260e-04 7.074487e+00 1.137767e+00 1.226213e+00 8.258000e+00 1.288778e+03 1.166712e-03 9.021991e+00
 1.271817e-04 7.074216e+00 1.138017e+00 1.226506e+00 8.258000e+00 1.287682e+03 1.166892e-03 9.022157e+00
 1.272374e-04 7.073945e+00 1.138266e+00 1.226799e+00 8.258000e+00 1.285794e+03 1.167073e-03 9.022323e+00
 1.272931e-04 7.072667e+00 1.138515e+00 1.227092e+00 8.257000e+00 1.285166e+03 1.167254e-03 9.021314e+00
 1.273489e-04 7.072396e+00 1.138764e+00 1.227384e+00 8.257000e+00 1.283412e+03 1.167434e-03 9.021480e+00
 1.274047e-04 7.072125e+00 1.139013e+00 1.227677e+00 8.257000e+00 1.280497e+03 1.167615e-03 9.021647e+00
 1.274606e-04 7.071854e+00 1.139263e+00 1.227971e+00 8.257000e+00 1.280286e+03 1.167796e-03 9.021813e+00
 1.275164e-04 7.071583e+00 1.139512e+00 1.228264e+00 8.257000e+00 1.278612e+03 1.167976e-03 9.021979e+00
 1.275723e-04 7.071312e+00 1.139761e+00 1.228557e+00 8.257000e+00 1.278241e+03 1.168157e-03 9.022145e+00
 1.276282e-04 7.071041e+00 1.140010e+00 1.228850e+00 8.257000e+00 1.275601e+03 1.168338e-03 9.022312e+00
 1.276841e-04 7.070770e+00 1.140260e+00 1.229143e+00 8.257000e+00 1.272927e+03 1.168519e-03 9.022478e+00
 1.277401e-04 7.070499e+00 1.140509e+00 1.229436e+00 8.257000e+00 1.271997e+03 1.168700e-03 9.022644e+00
 1.277960e-04 7.070227e+00 1.140758e+00 1.229729e+00 8.257000e+00 1.270510e+03 1.168880e-03 9.022811e+00
 1.278520e-04 7.069956e+00 1.141008e+00 1.230023e+00 8.257000e+00 1.269869e+03 1.169061e-03 9.022977e+00
 1.279081e-04 7.069685e+00 1.141257e+00 1.230316e+00 8.257000e+00 1.267608e+03 1.169242e-03 9.023143e+00
 1.279641e-04 7.069414e+00 1.141506e+00 1.230609e+00 8.257000e+00 1.265940e+03 1.169423e-03 9.023310e+00
 1.280202e-04 7.069142e+00 1.141756e+00 1.230903e+00 8.257000e+00 1.264003e+03 1.169604e-03 9.023476e+00
 1.280763e-04 7.068871e+00 1.142005e+00 1.231196e+00 8.257000e+00 1.263133e+03 1.169785e-03 9.023643e+00
 1.281324e-04 7.068600e+00 1.142254e+00 1.231489e+00 8.257000e+00 1.262059e+03 1.169966e-03 9.023810e+00
 1.281886e-04 7.068328e+00 1.142504e+00 1.231783e+00 8.257000e+00 1.259638e+03 1.170147e-03 9.023976e+00
 1.282447e-04 7.068057e+00 1.142753e+00 1.232076e+00 8.257000e+00 1.259179e+03 1.170328e-03 9.024143e+00
 1.283009e-04 7.067786e+00 1.143003e+00 1.232370e+00 8.257000e+00 1.256702e+03 1.170508e-03 9.024309e+00
 1.283571e-04 7.067514e+00 1.143252e+00 1.232663e+00 8.257000e+00 1.255707e+03 1.170689e-03 9.024476e+00
 1.284134e-04 7.067243e+00 1.143502e+00 1.232957e+00 8.257000e+00 1.253986e+03 1.170870e-03 9.024643e+00
 1.284697e-04 7.066971e+00 1.143751e+00 1.233250e+00 8.257000e+00 1.251391e+03 1.171052e-03 9.024809e+00
 1.285260e-04 7.066700e+00 1.144001e+00 1.233544e+00 8.257000e+00 1.251084e+03 1.171233e-03 9.024976e+00
 1.285823e-04 7.066429e+00 1.144250e+00 1.233837e+00 8.257000e+00 1.249376e+03 1.171414e-03 9.025143e+00
 1.286386e-04 7.066157e+00 1.144500e+00 1.234131e+00 8.257000e+00 1.248548e+03 1.171595e-03 9.025310e+00
 1.286950e-04 7.065886e+00 1.144749e+00 1.234424e+00 8.257000e+00 1.246051e+03 1.171776e-03 9.025477e+00
 1.287514e-04 7.065614e+00 1.144999e+00 1.234718e+00 8.257000e+00 1.243990e+03 1.171957e-03 9.025644e+00
 1.288078e-04 7.065342e+00 1.145248e+00 1.235012e+00 8.257000e+00 1.243091e+03 1.172138e-03 9.025810e+00
 1.288642e-04 7.065071e+00 1.145498e+00 1.235306e+00 8.257000e+00 1.241930e+03 1.172319e-03 9.025977e+00
 1.289207e-04 7.064799e+00 1.145747e+00 1.235599e+00 8.257000e+00 1.241541e+03 1.172500e-03 9.026144e+00
 1.289772e-04 7.064528e+00 1.145997e+00 1.235893e+00 8.257000e+00 1.238922e+03 1.172682e-03 9.026311e+00
 1.290337e-04 7.064256e+00 1.146246e+00 1.236187e+00 8.257000e+00 1.236957e+03 1.172863e-03 9.026478e+00
 1.290903e-04 7.063984e+00 1.146496e+00 1.236481e+00 8.257000e+00 1.235297e+03 1.173044e-03 9.026645e+00
 1.291468e-04 7.063713e+00 1.146746e+00 1.236775e+00 8.257000e+00 1.234212e+03 1.173225e-03 9.026812e+00
 1.292034e-04 7.063441e+00 1.146995e+00 1.237069e+00 8.257000e+00 1.233089e+03 1.173407e-03 9.026980e+00
 1.292600e-04 7.063169e+00 1.147245e+00 1.237362e+00 8.257000e+00 1.230972e+03 1.173588e-03 9.027147e+00
 1.293167e-04 7.062898e+00 1.147495e+00 1.237657e+00 8.257000e+00 1.230007e+03 1.173769e-03 9.027314e+00
 1.293734e-04 7.062626e+00 1.147744e+00 1.237951e+00 8.257000e+00 1.227600e+03 1.173951e-03 9.027481e+00
 1.294300e-04 7.062354e+00 1.147994e+00 1.238245e+00 8.257000e+00 1.226975e+03 1.174132e-03 9.027648e+00
 1.294868e-04 7.062082e+00 1.148244e+00 1.238539e+00 8.257000e+00 1.225677e+03 1.174313e-03 9.027816e+00
 1.295435e-04 7.061810e+00 1.148493e+00 1.238833e+00 8.257000e+00 1.223337e+03 1.174495e-03 9.027983e+00
 1.296003e-04 7.061539e+00 1.148743e+00 1.239127e+00 8.257000e+00 1.223438e+03 1.174676e-03 9.028150e+00
 1.296571e-04 7.061267e+00 1.148993e+00 1.239421e+00 8.257000e+00 1.220919e+03 1.174858e-03 9.028318e+00
 1.297139e-04 7.060995e+00 1.149243e+00 1.239715e+00 8.257000e+00 1.219691e+03 1.175039e-03 9.028485e+00
 1.297707e-04 7.060723e+00 1.149492e+00 1.240009e+00 8.257000e+00 1.217909e+03 1.175221e-03 9.028652e+00
 1.298276e-04 7.060451e+00 1.149742e+00 1.240303e+00 8.257000e+00 1.215544e+03 1.175402e-03 9.028820e+00
 1.298845e-04 7.060179e+00 1.149992e+00 1.240598e+00 8.257000e+00 1.215095e+03 1.175584e-03 9.028987e+00
 1.299414e-04 7.059907e+00 1.150242e+00 1.240892e+00 8.257000e+00 1.213510e+03 1.175765e-03 9.029155e+00
 1.299983e-04 7.059635e+00 1.150492e+00 1.241186e+00 8.257000e+00 1.212751e+03 1.175947e-03 9.029322e+00
 1.300553e-04 7.059363e+00 1.150741e+00 1.241480e+00 8.257000e+00 1.210438e+03 1.176128e-03 9.029490e+00
 1.301123e-04 7.059091e+00 1.150991e+00 1.241775e+00 8.257000e+00 1.208552e+03 1.176310e-03 9.029657e+00
 1.301693e-04 7.058819e+00 1.151241e+00 1.242069e+00 8.257000e+00 1.207550e+03 1.176492e-03 9.029825e+00
 1.302263e-04 7.058547e+00 1.151491e+00 1.242363e+00 8.257000e+00 1.206124e+03 1.176673e-03 9.029993e+00
 1.302834e-04 7.058275e+00 1.151741e+00 1.242658e+00 8.257000e+00 1.205904e+03 1.176855e-03 9.030160e+00
 1.303405e-04 7.058003e+00 1.151991e+00 1.242952e+00 8.257000e+00 1.203410e+03 1.177037e-03 9.030328e+00
 1.303976e-04 7.057731e+00 1.152241e+00 1.243247e+00 8.257000e+00 1.201447e+03 1.177218e-03 9.030496e+00
 1.304547e-04 7.057459e+00 1.152490e+00 1.243541e+00 8.257000e+00 1.199851e+03 1.177400e-03 9.030663e+00
 1.305119e-04 7.057187e+00 1.152740e+00 1.243836e+00 8.257000e+00 1.198713e+03 1.177582e-03 9.030831e+00
 1.305691e-04 7.056914e+00 1.152990e+00 1.244130e+00 8.257000e+00 1.198101e+03 1.177764e-03 9.030999e+00
 1.306263e-04 7.056642e+00 1.153240e+00 1.244425e+00 8.257000e+00 1.195875e+03 1.177945e-03 9.031167e+00
 1.306835e-04 7.056370e+00 1.153490e+00 1.244719e+00 8.257000e+00 1.194946e+03 1.178127e-03 9.031335e+00
 1.307408e-04 7.056098e+00 1.153740e+00 1.245014e+00 8.257000e+00 1.192390e+03 1.178309e-03 9.031503e+00
 1.307981e-04 7.055826e+00 1.153990e+00 1.245309e+00 8.257000e+00 1.191555e+03 1.178491e-03 9.031671e+00
 1.308554e-04 7.055553e+00 1.154240e+00 1.245603e+00 8.257000e+00 1.190596e+03 1.178673e-03 9.031839e+00
 1.309128e-04 7.055281e+00 1.154490e+00 1.245898e+00 8.257000e+00 1.188094e+03 1.178855e-03 9.032007e+00
 1.309701e-04 7.055009e+00 1.154740e+00 1.246193e+00 8.257000e+00 1.188467e+03 1.179037e-03 9.032175e+00
 1.310275e-04 7.054736e+00 1.154990e+00 1.246488e+00 8.257000e+00 1.185813e+03 1.179218e-03 9.032343e+00
 1.310849e-04 7.054464e+00 1.155240e+00 1.246782e+00 8.257000e+00 1.184666e+03 1.179400e-03 9.032511e+00
 1.311424e-04 7.054192e+00 1.155490e+00 1.247077e+00 8.257000e+00 1.183317e+03 1.179582e-03 9.032679e+00
 1.311998e-04 7.053919e+00 1.155740e+00 1.247372e+00 8.257000e+00 1.180710e+03 1.179764e-03 9.032847e+00
 1.312573e-04 7.053647e+00 1.155991e+00 1.247667e+00 8.257000e+00 1.180843e+03 1.179946e-03 9.033015e+00
 1.313148e-04 7.053374e+00 1.156241e+00 1.247962e+00 8.257000e+00 1.178379e+03 1.180129e-03 9.033183e+00
 1.313724e-04 7.053102e+00 1.156491e+00 1.248257e+00 8.257000e+00 1.177808e+03 1.180311e-03 9.033352e+00
 1.314300e-04 7.052830e+00 1.156741e+00 1.248552e+00 8.257000e+00 1.175904e+03 1.180493e-03 9.033520e+00
 1.314875e-04 7.052557e+00 1.156991e+00 1.248847e+00 8.257000e+00 1.173638e+03 1.180675e-03 9.033688e+00
 1.315452e-04 7.052285e+00 1.157241e+00 1.249142e+00 8.257000e+00 1.173387e+03 1.180857e-03 9.033857e+00
 1.316028e-04 7.052012e+00 1.157491e+00 1.249437e+00 8.257000e+00 1.171307e+03 1.181039e-03 9.034025e+00
 1.316605e-04 7.051740e+00 1.157742e+00 1.249732e+00 8.257000e+00 1.171324e+03 1.181221e-03 9.034193e+00
 1.317182e-04 7.051467e+00 1.157992e+00 1.250027e+00 8.257000e+00 1.169300e+03 1.181404e-03 9.034362e+00
 1.317759e-04 7.051194e+00 1.158242e+00 1.250322e+00 8.257000e+00 1.167100e+03 1.181586e-03 9.034530e+00
 1.318336e-04 7.050922e+00 1.158492e+00 1.250617e+00 8.257000e+00 1.165921e+03 1.181768e-03 9.034699e+00
 1.318914e-04 7.050649e+00 1.158742e+00 1.250912e+00 8.257000e+00 1.164043e+03 1.181950e-03 9.034867e+00
 1.319492e-04 7.050377e+00 1.158993e+00 1.251208e+00 8.257000e+00 1.164092e+03 1.182133e-03 9.035036e+00
 1.320070e-04 7.050104e+00 1.159243e+00 1.251503e+00 8.257000e+00 1.161506e+03 1.182315e-03 9.035204e+00
 1.320649e-04 7.049831e+00 1.159493e+00 1.251798e+00 8.257000e+00 1.160300e+03 1.182497e-03 9.035373e+00
 1.321227e-04 7.049558e+00 1.159743e+00 1.252093e+00 8.257000e+00 1.158824e+03 1.182680e-03 9.035542e+00
 1.321806e-04 7.049286e+00 1.159994e+00 1.252389e+00 8.257000e+00 1.157107e+03 1.182862e-03 9.035710e+00
 1.322385e-04 7.049013e+00 1.160244e+00 1.252684e+00 8.257000e+00 1.157189e+03 1.183044e-03 9.035879e+00
 1.322965e-04 7.048740e+00 1.160494e+00 1.252979e+00 8.257000e+00 1.154540e+03 1.183227e-03 9.036048e+00
 1.323545e-04 7.048467e+00 1.160745e+00 1.253275e+00 8.257000e+00 1.153651e+03 1.183409e-03 9.036216e+00
 1.324125e-04 7.048195e+00 1.160995e+00 1.253570e+00 8.257000e+00 1.151897e+03 1.183592e-03 9.036385e+00
 1.324705e-04 7.047922e+00 1.161245e+00 1.253866e+00 8.257000e+00 1.150565e+03 1.183774e-03 9.036554e+00
 1.325285e-04 7.047649e+00 1.161496e+00 1.254161e+00 8.257000e+00 1.149994e+03 1.183957e-03 9.036723e+00
 1.325866e-04 7.047376e+00 1.161746e+00 1.254457e+00 8.257000e+00 1.147335e+03 1.184140e-03 9.036892e+00
 1.326447e-04 7.047103e+00 1.161996e+00 1.254752e+00 8.257000e+00 1.146779e+03 1.184322e-03 9.037061e+00
 1.327028e-04 7.046830e+00 1.162247e+00 1.255048e+00 8.257000e+00 1.144370e+03 1.184505e-03 9.037229e+00
 1.327610e-04 7.046558e+00 1.162497e+00 1.255343e+00 8.257000e+00 1.143662e+03 1.184687e-03 9.037398e+00
 1.328192e-04 7.046285e+00 1.162748e+00 1.255639e+00 8.257000e+00 1.143254e+03 1.184870e-03 9.037567e+00
 1.328774e-04 7.046012e+00 1.162998e+00 1.255934e+00 8.257000e+00 1.140297e+03 1.185053e-03 9.037736e+00
 1.329356e-04 7.045739e+00 1.163248e+00 1.256230e+00 8.257000e+00 1.140126e+03 1.185235e-03 9.037905e+00
 1.329938e-04 7.045466e+00 1.163499e+00 1.256526e+00 8.257000e+00 1.137303e+03 1.185418e-03 9.038075e+00
 1.330521e-04 7.045193e+00 1.163749e+00 1.256822e+00 8.257000e+00 1.136754e+03 1.185601e-03 9.038244e+00
 1.331104e-04 7.044920e+00 1.164000e+00 1.257117e+00 8.257000e+00 1.136310e+03 1.185784e-03 9.038413e+00
 1.331687e-04 7.043640e+00 1.164250e+00 1.257413e+00 8.256000e+00 1.133805e+03 1.185966e-03 9.037402e+00
 1.332271e-04 7.043367e+00 1.164501e+00 1.257709e+00 8.256000e+00 1.133889e+03 1.186149e-03 9.037571e+00
 1.332855e-04 7.043094e+00 1.164751e+00 1.258005e+00 8.256000e+00 1.130502e+03 1.186332e-03 9.037740e+00
 1.333439e-04 7.042820e+00 1.165002e+00 1.258301e+00 8.256000e+00 1.130141e+03 1.186515e-03 9.037909e+00
