# MvsR for tab1d_cold /home/gieg/projects/eos/RMF3/RMF3_TOV.d
# p_c, R_iso, M, Mb, R, Lambda, e_c, R_inv
 5.106258e-05 7.633813e+00 6.733393e-01 7.000631e-01 8.322000e+00 1.882927e+04 8.601711e-04 8.803408e+00
 5.108495e-05 7.633615e+00 6.735279e-01 7.002692e-01 8.322000e+00 1.881192e+04 8.602922e-04 8.803524e+00
 5.110734e-05 7.632416e+00 6.737165e-01 7.004753e-01 8.321000e+00 1.878133e+04 8.604133e-04 8.802547e+00
 5.112973e-05 7.632219e+00 6.739051e-01 7.006814e-01 8.321000e+00 1.875337e+04 8.605344e-04 8.802662e+00
 5.115214e-05 7.632022e+00 6.740937e-01 7.008877e-01 8.321000e+00 1.872746e+04 8.606556e-04 8.802778e+00
 5.117455e-05 7.631824e+00 6.742824e-01 7.010939e-01 8.321000e+00 1.870039e+04 8.607767e-04 8.802894e+00
 5.119698e-05 7.631627e+00 6.744712e-01 7.013002e-01 8.321000e+00 1.867835e+04 8.608979e-04 8.803009e+00
 5.121941e-05 7.631429e+00 6.746600e-01 7.015066e-01 8.321000e+00 1.865532e+04 8.610190e-04 8.803125e+00
 5.124185e-05 7.631232e+00 6.748488e-01 7.017130e-01 8.321000e+00 1.862669e+04 8.611402e-04 8.803241e+00
 5.126431e-05 7.631034e+00 6.750376e-01 7.019195e-01 8.321000e+00 1.859935e+04 8.612614e-04 8.803356e+00
 5.128677e-05 7.630836e+00 6.752265e-01 7.021260e-01 8.321000e+00 1.858339e+04 8.613826e-04 8.803472e+00
 5.130925e-05 7.630639e+00 6.754154e-01 7.023325e-01 8.321000e+00 1.855858e+04 8.615038e-04 8.803588e+00
 5.133173e-05 7.629439e+00 6.756044e-01 7.025391e-01 8.320000e+00 1.852800e+04 8.616250e-04 8.802611e+00
 5.135422e-05 7.629241e+00 6.757934e-01 7.027457e-01 8.320000e+00 1.850179e+04 8.617462e-04 8.802727e+00
 5.137673e-05 7.629043e+00 6.759825e-01 7.029524e-01 8.320000e+00 1.847742e+04 8.618675e-04 8.802842e+00
 5.139924e-05 7.628846e+00 6.761716e-01 7.031592e-01 8.320000e+00 1.845260e+04 8.619887e-04 8.802958e+00
 5.142176e-05 7.628648e+00 6.763607e-01 7.033660e-01 8.320000e+00 1.843014e+04 8.621100e-04 8.803074e+00
 5.144430e-05 7.628450e+00 6.765498e-01 7.035728e-01 8.320000e+00 1.840446e+04 8.622313e-04 8.803190e+00
 5.146684e-05 7.628252e+00 6.767390e-01 7.037797e-01 8.320000e+00 1.837377e+04 8.623526e-04 8.803306e+00
 5.148939e-05 7.628054e+00 6.769283e-01 7.039866e-01 8.320000e+00 1.835656e+04 8.624739e-04 8.803422e+00
 5.151195e-05 7.627856e+00 6.771176e-01 7.041936e-01 8.320000e+00 1.833519e+04 8.625952e-04 8.803538e+00
 5.153453e-05 7.627658e+00 6.773069e-01 7.044006e-01 8.320000e+00 1.830509e+04 8.627165e-04 8.803654e+00
 5.155711e-05 7.627459e+00 6.774962e-01 7.046077e-01 8.320000e+00 1.827899e+04 8.628379e-04 8.803770e+00
 5.157970e-05 7.626259e+00 6.776856e-01 7.048148e-01 8.319000e+00 1.825325e+04 8.629592e-04 8.802793e+00
 5.160230e-05 7.626061e+00 6.778751e-01 7.050220e-01 8.319000e+00 1.822949e+04 8.630806e-04 8.802908e+00
 5.162491e-05 7.625863e+00 6.780645e-01 7.052292e-01 8.319000e+00 1.820750e+04 8.632020e-04 8.803024e+00
 5.164754e-05 7.625664e+00 6.782540e-01 7.054365e-01 8.319000e+00 1.818262e+04 8.633233e-04 8.803141e+00
 5.167017e-05 7.625466e+00 6.784436e-01 7.056438e-01 8.319000e+00 1.815435e+04 8.634447e-04 8.803257e+00
 5.169281e-05 7.625268e+00 6.786332e-01 7.058512e-01 8.319000e+00 1.813314e+04 8.635662e-04 8.803373e+00
 5.171546e-05 7.625069e+00 6.788228e-01 7.060586e-01 8.319000e+00 1.811368e+04 8.636876e-04 8.803489e+00
 5.173812e-05 7.624871e+00 6.790124e-01 7.062660e-01 8.319000e+00 1.808666e+04 8.638090e-04 8.803605e+00
 5.176079e-05 7.624672e+00 6.792021e-01 7.064735e-01 8.319000e+00 1.806029e+04 8.639305e-04 8.803721e+00
 5.178348e-05 7.624474e+00 6.793919e-01 7.066811e-01 8.319000e+00 1.803309e+04 8.640520e-04 8.803837e+00
 5.180617e-05 7.624275e+00 6.795817e-01 7.068887e-01 8.319000e+00 1.800977e+04 8.641734e-04 8.803953e+00
 5.182887e-05 7.623074e+00 6.797715e-01 7.070964e-01 8.318000e+00 1.798806e+04 8.642949e-04 8.802976e+00
 5.185158e-05 7.622876e+00 6.799613e-01 7.073041e-01 8.318000e+00 1.796282e+04 8.644164e-04 8.803092e+00
 5.187430e-05 7.622677e+00 6.801512e-01 7.075118e-01 8.318000e+00 1.793740e+04 8.645380e-04 8.803209e+00
 5.189703e-05 7.622478e+00 6.803412e-01 7.077196e-01 8.318000e+00 1.791151e+04 8.646595e-04 8.803325e+00
 5.191977e-05 7.622279e+00 6.805311e-01 7.079275e-01 8.318000e+00 1.789424e+04 8.647810e-04 8.803441e+00
 5.194252e-05 7.622080e+00 6.807211e-01 7.081353e-01 8.318000e+00 1.787154e+04 8.649026e-04 8.803557e+00
 5.196529e-05 7.621881e+00 6.809112e-01 7.083433e-01 8.318000e+00 1.784356e+04 8.650242e-04 8.803674e+00
 5.198806e-05 7.621682e+00 6.811013e-01 7.085513e-01 8.318000e+00 1.781482e+04 8.651458e-04 8.803790e+00
 5.201084e-05 7.621483e+00 6.812914e-01 7.087593e-01 8.318000e+00 1.779328e+04 8.652674e-04 8.803906e+00
 5.203363e-05 7.621284e+00 6.814816e-01 7.089674e-01 8.318000e+00 1.777100e+04 8.653890e-04 8.804023e+00
 5.205643e-05 7.620083e+00 6.816718e-01 7.091755e-01 8.317000e+00 1.774604e+04 8.655106e-04 8.803046e+00
 5.207924e-05 7.619884e+00 6.818620e-01 7.093837e-01 8.317000e+00 1.772366e+04 8.656323e-04 8.803162e+00
 5.210206e-05 7.619685e+00 6.820523e-01 7.095919e-01 8.317000e+00 1.769620e+04 8.657539e-04 8.803278e+00
 5.212489e-05 7.619486e+00 6.822426e-01 7.098002e-01 8.317000e+00 1.767537e+04 8.658756e-04 8.803395e+00
 5.214773e-05 7.619286e+00 6.824330e-01 7.100085e-01 8.317000e+00 1.765682e+04 8.659973e-04 8.803511e+00
 5.217058e-05 7.619087e+00 6.826234e-01 7.102169e-01 8.317000e+00 1.762913e+04 8.661190e-04 8.803628e+00
 5.219345e-05 7.618888e+00 6.828138e-01 7.104253e-01 8.317000e+00 1.759933e+04 8.662407e-04 8.803744e+00
 5.221632e-05 7.618688e+00 6.830043e-01 7.106338e-01 8.317000e+00 1.757917e+04 8.663624e-04 8.803861e+00
 5.223920e-05 7.618489e+00 6.831948e-01 7.108423e-01 8.317000e+00 1.755679e+04 8.664842e-04 8.803977e+00
 5.226209e-05 7.618289e+00 6.833853e-01 7.110509e-01 8.317000e+00 1.753098e+04 8.666059e-04 8.804094e+00
 5.228499e-05 7.618090e+00 6.835759e-01 7.112595e-01 8.317000e+00 1.751027e+04 8.667277e-04 8.804211e+00
 5.230790e-05 7.616888e+00 6.837665e-01 7.114682e-01 8.316000e+00 1.748298e+04 8.668495e-04 8.803233e+00
 5.233082e-05 7.616688e+00 6.839572e-01 7.116769e-01 8.316000e+00 1.746102e+04 8.669713e-04 8.803350e+00
 5.235375e-05 7.616489e+00 6.841479e-01 7.118856e-01 8.316000e+00 1.744438e+04 8.670931e-04 8.803466e+00
 5.237669e-05 7.616289e+00 6.843386e-01 7.120944e-01 8.316000e+00 1.741836e+04 8.672150e-04 8.803583e+00
 5.239965e-05 7.616089e+00 6.845294e-01 7.123033e-01 8.316000e+00 1.738968e+04 8.673368e-04 8.803700e+00
 5.242261e-05 7.615890e+00 6.847202e-01 7.125122e-01 8.316000e+00 1.736642e+04 8.674587e-04 8.803817e+00
 5.244558e-05 7.615690e+00 6.849111e-01 7.127211e-01 8.316000e+00 1.734519e+04 8.675805e-04 8.803933e+00
 5.246856e-05 7.615490e+00 6.851020e-01 7.129301e-01 8.316000e+00 1.732163e+04 8.677024e-04 8.804050e+00
 5.249155e-05 7.615290e+00 6.852929e-01 7.131392e-01 8.316000e+00 1.729923e+04 8.678244e-04 8.804167e+00
 5.251455e-05 7.615090e+00 6.854839e-01 7.133483e-01 8.316000e+00 1.727374e+04 8.679463e-04 8.804284e+00
 5.253756e-05 7.614890e+00 6.856749e-01 7.135574e-01 8.316000e+00 1.725136e+04 8.680682e-04 8.804400e+00
 5.256059e-05 7.613688e+00 6.858660e-01 7.137666e-01 8.315000e+00 1.723329e+04 8.681902e-04 8.803423e+00
 5.258362e-05 7.613488e+00 6.860570e-01 7.139759e-01 8.315000e+00 1.720865e+04 8.683121e-04 8.803540e+00
 5.260666e-05 7.613288e+00 6.862482e-01 7.141851e-01 8.315000e+00 1.718319e+04 8.684341e-04 8.803657e+00
 5.262971e-05 7.613087e+00 6.864393e-01 7.143945e-01 8.315000e+00 1.715666e+04 8.685561e-04 8.803774e+00
 5.265277e-05 7.612887e+00 6.866305e-01 7.146039e-01 8.315000e+00 1.713550e+04 8.686782e-04 8.803890e+00
 5.267585e-05 7.612687e+00 6.868218e-01 7.148133e-01 8.315000e+00 1.711567e+04 8.688002e-04 8.804007e+00
 5.269893e-05 7.612487e+00 6.870131e-01 7.150228e-01 8.315000e+00 1.709019e+04 8.689222e-04 8.804124e+00
 5.272202e-05 7.612286e+00 6.872044e-01 7.152323e-01 8.315000e+00 1.706600e+04 8.690443e-04 8.804241e+00
 5.274512e-05 7.612086e+00 6.873957e-01 7.154419e-01 8.315000e+00 1.704350e+04 8.691664e-04 8.804358e+00
 5.276824e-05 7.611885e+00 6.875871e-01 7.156515e-01 8.315000e+00 1.702521e+04 8.692885e-04 8.804475e+00
 5.279136e-05 7.611685e+00 6.877786e-01 7.158612e-01 8.315000e+00 1.700199e+04 8.694106e-04 8.804592e+00
 5.281449e-05 7.610482e+00 6.879700e-01 7.160709e-01 8.314000e+00 1.697929e+04 8.695327e-04 8.803615e+00
 5.283764e-05 7.610282e+00 6.881616e-01 7.162807e-01 8.314000e+00 1.695020e+04 8.696549e-04 8.803732e+00
