# mass	radius	Lambda
0.11086487768402925	36.982196423210475	189797408.7704573
0.13204681213174682	24.58665267262681	48223672.71855339
0.1532287465794644	20.097912953463798	21497710.54914543
0.174410681027182	17.807734382263988	11450535.91178205
0.19559261547489953	16.405767335457295	6672647.800673534
0.21677454992261713	15.476133777370237	4148368.7299523037
0.23795648437033468	14.818574410481707	2709312.0576746245
0.2591384188180523	14.330772816477628	1828758.4310873158
0.2803203532657699	13.964901007458248	1289323.1715017215
0.3015022877134874	13.674088278957118	923927.7468583214
0.322684222161205	13.443639841792868	676624.7226075258
0.34386615660892256	13.257944042705489	508312.6009520383
0.3650480910566401	13.103945342578175	386166.7141157753
0.3862300255043577	12.975614512555568	297381.49516279576
0.4074119599520753	12.867621810678394	232214.6595312996
0.4285938943997929	12.776593676081111	183113.20193287675
0.44977582884751044	12.69892524855971	146114.1012080066
0.47095776329522804	12.632166772459765	117706.48121943088
0.4921396977429456	12.574079475659572	95629.30958952954
0.5133216321906632	12.522875241973559	78313.90516768975
0.5345035666383807	12.477385794664896	64439.443976472096
0.5556855010860983	12.436321897812004	53286.42608787689
0.5768674355338159	12.398659866055008	44301.9557490878
0.5980493699815335	12.363803655086818	36932.31129630816
0.619231304429251	12.330982756659909	30855.86065266553
0.6404132388769685	12.299932945680021	26146.144305610018
0.6615951733246862	12.26987945557357	22154.8715392274
0.6827771077724037	12.2405710518486	18803.441298721147
0.7039590422201213	12.21180040550858	15984.749990973487
0.7251409766678388	12.183437828820772	13604.18223770354
0.7463229111155565	12.155485370808233	11633.490380238754
0.767504845563274	12.127949228934213	10001.694579787934
0.7886867800109917	12.100849786582085	8612.92584263088
0.8098687144587092	12.074245376208586	7422.857434024859
0.8310506489064269	12.048177376208184	6394.697053433954
0.8522325833541444	12.02301174066406	5557.925531657944
0.873414517801862	11.998826073331898	4839.371016288534
0.8945964522495795	11.975412845565307	4207.477107545795
0.915778386697297	11.952906773264592	3669.7227173183373
0.9369603211450147	11.93176329725255	3223.7791190675907
0.9581422555927323	11.911426892009505	2823.2051845592646
0.9793241900404499	11.892386396279836	2487.072696122282
1.0005061244881672	11.874468473771893	2197.3161796045556
1.021688058935885	11.857083557171377	1929.5793109077808
1.0428699933836025	11.841485285898052	1720.8915762439374
1.06405192783132	11.826315985546993	1523.3412489360069
1.0852338622790378	11.812454418877815	1359.625836240391
1.1064157967267554	11.7993053492529	1211.0431913702712
1.1275977311744727	11.787139973257899	1083.3532750142795
1.1487796656221902	11.775677242005395	969.330902979107
1.1699616000699078	11.76488733333918	868.3959874663393
1.1911435345176258	11.75495829061216	779.8774670648935
1.212325468965343	11.745762472939536	701.9343586600928
1.2335074034130606	11.737188319917735	631.9537457260046
1.2546893378607782	11.72928019538661	570.5038556395565
1.2758712723084957	11.721711204200146	514.161748447601
1.2970532067562135	11.714725885834888	466.6105021340024
1.318235141203931	11.707967672309431	420.9255856883139
1.3394170756516484	11.702239888644527	383.70866150212373
1.3605990100993661	11.696512104979623	346.49173731593277
1.3817809445470837	11.69132928836966	316.7041921416326
1.4029628789948014	11.686181838417331	287.3987904319155
1.424144813442519	11.681489956683262	262.1067952021295
1.4453267478902365	11.67704954343458	239.0301547936278
1.466508682337954	11.672799838413153	217.4812455162611
1.4876906167856714	11.66897735075032	199.35470174388334
1.5088725512333894	11.665154863087485	181.228157971505
1.5300544856811067	11.661530197423629	166.62939712238796
1.5512364201288245	11.657919661600443	152.28261538017918
1.5724183545765418	11.654447867898595	139.48432023853354
1.5936002890242595	11.651096689495002	128.03220008234098
1.614782223471977	11.647738375504568	116.85690496753762
1.6359641579196946	11.644327841626026	107.70748004460768
1.6571460923674122	11.640917307747483	98.55805512167774
1.6783280268151297	11.637577544972197	90.68910994480885
1.6995099612628473	11.634267622152722	83.36006675166708
1.7206918957105648	11.630802500642497	76.42757001459246
1.7418738301582823	11.626957924072734	70.46461469806943
1.763055764606	11.62311334750297	64.50165938154633
1.7842376990537177	11.61895407152283	59.522343825352074
1.8054196335014352	11.614759737749562	54.65260660993125
1.8266015679491527	11.61015349893746	50.27978568963055
1.8477835023968705	11.60519818817317	46.32808013539567
1.868965436844588	11.600082992991908	42.52639806706401
1.8901473712923054	11.594432435537984	39.2270596034957
1.9113293057400231	11.588781878084058	35.92772113992732
1.9325112401877405	11.582099684026176	33.1775540626961
1.9536931746354584	11.575392488752673	30.440695889191495
1.9748751090831758	11.56732602725645	28.017891830874472
1.9960570435308935	11.558914115237538	25.674903011420735
2.0172389779786113	11.549339055429543	23.582324243038634
2.038420912426328	11.539288308200456	21.592154568778597
2.0596028468740464	11.527355213368196	19.804556341657275
2.0807847813217633	11.514727899255298	18.091667484938
2.1019667157694815	11.499221149215298	16.534894660706705
2.123148650217199	11.48245265639077	15.02999252130318
2.144330584664916	11.461790664632497	13.662141463914004
2.1655125191126343	11.435885847684185	12.336114529847023
2.186694453560351	11.40089019003225	11.02607338160615
2.207876388008069	11.281564765421013	8.962566592050806
