 redshift luminosity_distance mass_1_source mass_2_source chi_eff chi_1 chi_2 mass_1 mass_2 radius_1 radius_2 lambda_1 lambda_2 theta_jn phase psi ra dec geocent_time prompt_collapse inclination_EM log10_mej_dyn v_ej_dyn Ye_dyn log10_mdisk log10_mej_wind v_ej_wind Ye_wind chi_BH Ebv trigger_time has_grb thetaCore log10_Ekin_iso log10_n0 redshift_measured afterglow_detected snr mass_ratio
0 0.2799464957143862 1480.581147009051 1.4180591798641515 1.3197140905368263 0.007817789631947 0.0 0.0162181609194278 1.8150398779827368 1.689163425527509 12.156230774052991 12.178386723215905 353.98651824517407 548.8394009932513 0.6463871196665282 3.899723407192413 1.0576956549501193 0.2913647331353387 -0.5150431783878723 2225492309.797459 2 0.6463871196665282 -2.24403940775696 0.2061692322245045 0.2161918576111973 -0.9793250315671532 -1.292180243453037 0.074876170528512 0.3164677886045379 0.6873545733826477 0.022522036 70002.01306478541 True 0.372374980416474 50.6677135183729 -0.0654520339507964 0.2775838433788719 True 19.971 0.9306481064233537
1 0.4548632238659653 2609.255470757259 1.8008565486246004 1.2860622210523371 0.0245245023587793 0.0420384103920559 0.0 2.6199999640521217 1.871044629012427 11.924331839481145 12.182817913048488 64.58621851873689 640.7107566450865 0.0564227742504377 0.6731636754331745 1.3031549839520091 1.5303623661061625 -0.5659549284400998 2237970566.8457723 1 0.0564227742504377 -3.408276890294141 0.2350971824087853 0.1996243082955974 -1.0 -1.5709558506398866 0.0865056917788564 0.2590450459310092 0.7613104429542726 0.03765884 70146.43733617791 True 0.3097479240827377 51.10307046132843 -2.663285997248365 0.4567626364044945 True 35.573 0.7141391811771814
2 0.1266193223587576 613.0776197372091 1.3524202359789772 1.3278100301576272 0.0358660853686932 0.0 0.0723969282877002 1.5236627698029066 1.4959364363973475 12.172478470105794 12.176909659938378 474.2988834261096 529.221382886984 2.391730750147213 2.994875472892899 0.4948504342217989 4.071643037124935 -0.7552403196671832 2233223712.548832 3 0.7498619034425802 -2.2948426630271546 0.1999601426281591 0.3142222092730663 -0.8950445262754364 -1.697174923479961 0.1039629846739522 0.2246183494887041 0.6643796542623689 0.20713015 70091.4968929263 False 0.1586625466846527 51.68408212661453 -0.7648953938823633 0.1258867966720454 False 34.876 0.981802841183062
3 0.2076959412460591 1056.1169681883548 1.3327166311097107 1.2186810748641923 0.0080521859024808 0.015415376502474 0.0 1.609516466222319 1.47179618778687 12.175432596660851 12.191680292713654 518.3014488189851 875.4724776421041 0.5800710426562201 0.918536470794688 1.643664080048457 3.1277133812216578 0.5351423651746676 2221620851.1464243 3 0.5800710426562201 -2.3161637276910145 0.1861684910959058 0.2277060270245464 -0.7918755004112877 -1.077289883918424 0.0899531001604799 0.2143485305497139 0.5938329271686191 0.017428214 69957.20451558361 False 0.1101533523584524 51.751752463219866 -1.313456241724185 0.2015168825630174 False 22.717 0.9144337561462226
4 0.4585592985832706 2634.491972249597 1.362226850723927 1.3524210012951654 0.0142966281168991 0.0284903434314418 0.0 1.9868886399031889 1.9725862270383607 12.16952434355074 12.172478470105794 453.8213998458508 474.2973285940118 2.868834188286405 6.228967760582787 2.6045018489990364 3.760407049858944 0.1468458842104668 2211208167.976744 2 0.2727584653033886 -2.286159744517417 0.2036423949085029 0.3022915269103177 -0.960193810677204 -1.7897324400591157 0.0590503297988349 0.3983404125031767 0.6796702676388232 0.026344068 69836.68734926787 True 0.2743656053847316 51.18803045718546 -1.4812555573972852 0.4579034200355565 True 19.864 0.9928016031811803
5 0.0859588838497393 405.22364255401607 1.4154680602723646 1.342657788864135 0.0092920228752616 0.0 0.0190879378912389 1.5371401148583328 1.458071153787055 12.157707837330518 12.173955533383324 357.9926547477888 494.414105459901 1.906035549584388 4.138243224849251 3.066922457680972 4.57995811841359 -0.2156075869535662 2226157034.4385705 2 1.2355571040054052 -2.2583983424614447 0.2083265245936897 0.289173270614212 -1.049820954127643 -1.3674020812286165 0.0575856025711623 0.3951756183358799 0.6965461610920619 0.7254539 70009.70663702048 True 0.1940836014094353 51.175590710446 -2.22353254381384 0.0849162602443111 True 28.211 0.9485609930370174
6 0.4761818178349989 2755.5426373204123 1.4780720075912115 1.3139922863566245 0.0118962196180328 0.0224718483659001 0.0 2.181903023057021 1.939691521895088 12.137028951445131 12.178386723215905 271.6767088448349 563.5783544584373 0.1993438572582729 0.4125998083939592 2.615189948785688 3.986186730093287 0.0724609023030418 2225520963.392705 3 0.1993438572582729 -2.183752165569407 0.2122089407064972 0.2873669905313776 -1.0416864960335426 -1.3748021642745822 0.1341635790772191 0.3636391685772674 0.7052799500117799 0.042285275 70002.34470361927 True 0.2353480908250561 51.02745161702647 -1.5535841221769369 0.479630120178042 True 21.6 0.8889907119599775
7 0.2568893910754447 1342.2475005590777 1.379868890747237 1.328603593174986 0.0153103195725679 0.0300518256193893 0.0 1.734342569855244 1.669907761206356 12.166570216995686 12.176909659938378 419.2944264443562 527.5595804166405 0.3844618802327643 3.24178157692182 2.6611556432359373 5.304463387840105 -0.701766979002558 2227218798.62994 3 0.3844618802327643 -2.277271677289586 0.2029808994775838 0.2308921652105092 -0.9412255880712332 -1.2349749007282262 0.1149613757346191 0.3421940350274395 0.676483786144583 0.05584804 70021.99557442061 False 0.2615858044315259 50.98253941369495 -4.463388140263346 0.2579756944913962 False 20.989 0.9628477039260669
8 0.0720688551451307 336.5330669477785 1.3605288598820715 1.3192296546984543 0.0156529652055617 0.0 0.0317959550398559 1.4585806172056826 1.414305025586078 12.171001406828267 12.178386723215905 456.7910803832184 549.9934866749247 0.2924246128468873 1.796509791933791 0.9426475771904056 3.827774227796515 -0.1112667945185187 2225530852.673985 3 0.2924246128468873 -2.2902652330474704 0.1999090438791428 0.2345932218999256 -0.8942463564318692 -1.3591694380901416 0.0872181697944016 0.2989841415335605 0.6639624509223768 0.060965545 70002.45916289334 False 0.2495469915940266 51.16387566667595 -0.1886011073094495 0.0719119730145262 True 102.922 0.9696447415402882
9 0.3270297647066155 1771.027202025767 1.4538617229861663 1.3008857950102204 0.0032477303489482 0.0061537331758831 0.0 1.929317780170287 1.7263141704625913 12.145891331110295 12.181340849770962 302.3557040895079 598.053598728454 2.4439729366155074 2.461005383717612 0.4826791207321363 4.829560360115077 -0.6168351612815974 2234627291.82993 2 0.6976197169742858 -2.194374571496915 0.2080900827046444 0.3459215905231767 -0.9630786195524734 -1.2731473826869604 0.0620003314198566 0.3991072707995473 0.6913595450822322 0.094356835 70107.74202349456 True 0.3237853708046515 50.78919137276316 -0.4047632047279741 0.3220294159682964 True 14.335 0.8947795890370233
