2050-07-31T10:34:14.481 radio-1.4GHz 23.000000 inf
2050-07-31T18:07:24.553 radio-1.4GHz 23.000000 inf
2050-07-31T20:50:38.358 radio-1.4GHz 23.000000 inf
2050-08-01T07:52:22.929 radio-1.4GHz 23.000000 inf
2050-08-02T01:02:51.666 radio-1.4GHz 18.000000 inf
2050-08-04T07:12:38.158 radio-1.4GHz 23.000000 inf
2050-08-05T16:17:14.876 radio-1.4GHz 23.000000 inf
2050-08-06T09:02:41.362 radio-1.4GHz 23.000000 inf
2050-08-07T23:21:34.044 radio-1.4GHz 23.000000 inf
2050-08-08T05:35:03.655 radio-1.4GHz 23.000000 inf
2050-07-31T10:25:00.612 2massj 25.053915 0.015898
2050-08-01T01:19:11.091 2massj 24.866160 0.142833
2050-08-02T01:23:14.145 2massj 25.331651 0.029253
2050-08-02T09:54:37.118 2massj 25.429130 0.010000
2050-08-02T17:57:40.947 2massj 25.538054 0.074748
2050-08-02T23:41:31.242 2massj 25.602004 0.019240
2050-08-05T13:38:36.518 2massj 26.763087 0.029703
2050-08-05T16:06:35.559 2massj 21.873528 inf
2050-07-31T07:35:55.306 besselli 24.613195 0.010000
2050-07-31T15:34:39.418 besselli 24.796104 0.041733
2050-07-31T21:13:16.624 besselli 25.111438 0.023717
2050-08-04T06:45:33.121 besselli 27.551901 0.142670
2050-08-04T09:12:59.393 besselli 27.623252 0.010000
2050-08-04T18:19:01.418 besselli 28.154785 0.075537
2050-08-05T21:53:45.985 besselli 29.127939 0.145410
2050-08-07T02:21:33.790 besselli 24.500000 inf
2050-07-31T22:18:08.350 bessellv 25.712439 0.054512
2050-08-01T02:39:53.938 bessellv 26.006832 0.038530
2050-08-01T14:56:28.200 bessellv 27.048299 0.010000
2050-08-02T01:53:51.967 bessellv 27.961556 0.097414
2050-08-03T06:42:42.317 bessellv 29.500000 inf
2050-08-03T08:37:58.688 bessellv 29.500000 inf
2050-08-07T00:09:36.993 bessellv 29.500000 inf
2050-08-08T20:56:46.237 bessellv 29.500000 inf
2050-08-01T00:22:13.870 bessellux 26.000000 inf
2050-08-01T11:36:29.179 bessellux 26.000000 inf
2050-08-03T05:09:16.739 bessellux 26.000000 inf
2050-08-05T00:44:09.971 bessellux 26.000000 inf
2050-08-05T04:08:04.275 bessellux 26.000000 inf
2050-08-06T14:22:36.366 bessellux 26.000000 inf
2050-08-07T09:37:57.207 bessellux 26.000000 inf
2050-07-31T05:51:06.094 X-ray-1keV 33.760055 0.064792
2050-07-31T07:38:12.735 X-ray-1keV 28.832629 inf
2050-07-31T18:40:30.358 X-ray-1keV 34.142098 0.166335
2050-08-01T00:55:16.549 X-ray-1keV 34.468589 0.223797
2050-08-01T07:30:52.972 X-ray-1keV 34.601029 0.010000
2050-08-01T10:13:53.661 X-ray-1keV 34.536472 0.067351
2050-08-01T10:20:09.350 X-ray-1keV 34.708299 0.027450
2050-08-02T09:09:59.823 X-ray-1keV 30.057903 inf
2050-08-04T19:29:49.476 X-ray-1keV 35.463951 0.088250
