2050-09-28T23:20:14.986 2massj 23.315916 0.048798
2050-09-29T09:52:03.196 2massj 23.550648 0.062042
2050-10-01T02:36:04.921 2massj 24.456077 0.233525
2050-10-01T07:55:06.290 2massj 24.590508 0.275602
2050-10-01T19:21:00.933 2massj 24.812993 0.238481
2050-10-01T20:31:04.479 2massj 25.180794 0.170122
2050-10-05T02:20:57.365 2massj 26.562383 0.114612
2050-10-07T19:20:56.669 2massj 27.357205 0.014608
2050-09-28T18:01:18.948 besselli 23.703101 0.147894
2050-09-29T02:00:31.458 besselli 23.491799 0.041119
2050-09-30T03:18:45.888 besselli 25.099883 0.038723
2050-10-02T03:15:33.512 besselli 26.661509 0.052845
2050-10-02T10:50:44.634 besselli 26.912605 0.014234
2050-10-02T21:50:33.487 besselli 27.403790 0.071132
2050-10-04T19:49:02.279 besselli 29.294641 0.110436
2050-10-07T19:19:06.476 besselli 29.500000 inf
2050-09-29T02:08:25.029 bessellv 23.791405 0.024538
2050-09-29T04:44:08.495 bessellv 23.992615 0.010534
2050-09-29T13:43:20.245 bessellv 24.764155 0.216847
2050-10-02T02:21:38.680 bessellv 29.500000 inf
2050-10-02T03:34:21.105 bessellv 29.500000 inf
2050-10-02T16:17:50.059 bessellv 29.500000 inf
2050-10-05T11:40:58.883 bessellv 29.500000 inf
2050-10-07T21:44:16.339 bessellv 29.500000 inf
2050-09-29T10:34:46.809 bessellux 26.000000 inf
2050-09-30T02:25:07.193 bessellux 26.000000 inf
2050-09-30T04:33:32.608 bessellux 26.000000 inf
2050-09-30T11:04:37.261 bessellux 26.000000 inf
2050-10-03T12:04:35.450 bessellux 26.000000 inf
2050-10-03T21:35:43.965 bessellux 26.000000 inf
