inclination_EM has_grb thetaCore eta_gamma log10_Egamma_fermi_gbm log10_Egamma_swift_bat log10_Egamma_gecam log10_Ekin_iso log10_n0 fermi_detected swift_detected gecam_detected eclair_detected redshift luminosity_distance prompt_collapse
1.13669926451731 False 0.2521620969830201 0.06088485218752153 0.0 0.0 0.0 49.91157640705241 -1.2388545792339811 False False False False 1.329637811353949 9658.295421758768 4
1.4287788428226151 False 0.12088109157649357 0.09650516866871489 0.0 0.0 0.0 51.50866834005996 -4.8878554825576535 False False False False 1.3928057824570856 10226.85558610144 3
0.9584201321577066 False 0.20874054279145002 0.04856565160266928 0.0 0.0 0.0 51.461249270967926 -3.101319103185042 False False False False 0.8333594547729719 5431.271522366544 3
1.4397326287247227 False 0.05818008844297723 0.04232375780058775 0.0 0.0 0.0 52.183065204663635 -0.956391360835025 False False False False 1.62178842393179 12333.141106773475 3
0.9401949565505632 False 0.053496389174422766 0.09917117453761637 0.0 0.0 0.0 52.393787505904484 -0.3115987573413479 False False False False 2.266016400273818 18561.94827548572 3
1.3218776829507766 True 0.14896950347242066 0.12261593759397792 -47.492199794282364 -126.09278322164904 -25.516070449077567 51.61144510324835 -4.826615960420674 False False False False 0.8170450309465302 5301.072648684029 1
1.2603211567313006 False 0.3623673904247583 0.0714427867106363 0.0 0.0 0.0 50.359743266618366 -4.324446225200711 False False False False 1.843911272830701 14435.574283959792 3
0.3274613493838889 False 0.09096760268835449 0.07580334102231139 0.0 0.0 0.0 52.03752506608707 -3.6353016715045507 False False False False 4.057732452823209 37338.96311392147 3
1.2514785715395302 False 0.18165096266939879 0.14775949407949987 0.0 0.0 0.0 51.448175285660874 -4.492118807166349 False False False False 0.752273408784359 4790.884411372867 2
0.4694807777228275 False 0.31471291185755823 0.1369926353819725 0.0 0.0 0.0 50.63131102877763 -4.114271663931842 False False False False 0.7430701896737405 4719.296196651566 4
1.4008699221561176 False 0.4242483003034759 0.011632053097511476 0.0 0.0 0.0 50.85002434694099 -3.9518990935606864 False False False False 1.7281547244764293 13333.238494415187 4
0.9909108301176128 False 0.07417076032748884 0.061566311644293506 0.0 0.0 0.0 51.86755955782288 -1.9374829542959136 False False False False 1.6306146615527557 12415.637100878255 3
0.7726366450027092 False 0.29270179043050687 0.04444459247695435 0.0 0.0 0.0 50.972372645640384 -4.096401190517875 False False False False 3.3493314156924936 29723.1666314879 3
1.3961852400821242 False 0.36016703995581295 0.040366305519860785 0.0 0.0 0.0 50.75253896643579 -0.4712121637095539 False False False False 1.794902251414025 13967.165242927977 3
1.471180581970813 False 0.2691757134027784 0.08176995193064301 0.0 0.0 0.0 50.76024754438821 -1.386575092911118 False False False False 1.646568364282487 12564.981625646838 3
1.517546742742398 False 0.29244713471598044 0.09263172120772328 0.0 0.0 0.0 51.12115987479527 -3.6279432425213303 False False False False 0.7184022894931766 4528.565832514227 3
0.2524353248499395 True 0.08367475696829034 0.0794319284773526 43.328201414698604 41.71844183453154 43.7991848254593 52.15426305893878 -0.670143271820093 False False False False 3.1401673865122635 27516.74438557352 2
1.4876768312112156 True 0.11970039927200209 0.09722883406058627 -75.826423601996 -179.07560293002797 -46.96343954627979 50.850769186691764 -1.475569169716377 False False False False 0.6767111636466014 4210.141907368632 1
0.5210785384415711 False 0.06953569325708743 0.02310451930086646 0.0 0.0 0.0 51.46853026591282 -0.5285888252466195 False False False False 1.5800715996250994 11944.477333050889 4
1.0816322002280447 True 0.029791306990456397 0.010498806738047513 -69.82438856801836 -168.23835649628617 -42.31210641202679 53.20099917344484 -1.8695423308704475 False False False False 1.2823728398353704 9236.759597739852 2
0.2625546415362204 False 0.052921433672652056 0.07358436659740718 0.0 0.0 0.0 51.806905738541396 -1.6210546922980056 False False False False 2.959321500838383 25626.869459848163 3
0.93787509807664 True 0.13848199636642802 0.021891307920327074 -28.138031397455915 -88.01245462908396 -11.380213677252659 50.630162252748434 -2.7088857835788116 False False False False 2.1554548094580697 17466.360428283366 1
1.3227237853563216 False 0.05220241913033275 0.06989844570998241 0.0 0.0 0.0 52.40090250220541 -0.634819562459211 False False False False 1.5066537454958535 11265.639225294868 3
0.550374483041518 False 0.29530866131403055 0.13969175024308395 0.0 0.0 0.0 50.33663763354244 -0.40612418293791386 False False False False 2.107704979497894 16996.261694608507 4
0.8318423669157676 False 0.10568864903007061 0.1370855382266736 0.0 0.0 0.0 51.008849539611745 -1.1835023025379208 False False False False 0.9946816143944128 6752.261504484184 2
1.0537935264889708 False 0.012668307681854004 0.11430133330624108 0.0 0.0 0.0 53.72239899590729 -0.860579547671537 False False False False 1.3772014321705297 10085.867252733617 3
1.434237840308639 False 0.13204023492822697 0.041742992696977 0.0 0.0 0.0 50.16207844378018 -4.282475274428189 False False False False 0.6527750187864733 4029.637499152696 4
1.3092411647475233 True 0.22158684381992572 0.0818106675235278 -44.80734432822158 -120.92286545138094 -23.5173766006315 51.33179251060151 -1.3696618395738511 False False False False 1.3981925043582817 10275.605898234506 3
0.4647292023466685 False 0.08211767170988443 0.012922550374820438 0.0 0.0 0.0 51.680535066087195 -4.51100934325068 False False False False 1.3979365383875475 10273.28845707556 2
0.7760292888115355 False 0.055641330766149584 0.0758571676442779 0.0 0.0 0.0 52.332128623281605 -3.7356318132021302 False False False False 1.0046819034865295 6836.021584432461 3
1.128376567209202 False 0.07667747923472593 0.05617015609976044 0.0 0.0 0.0 52.24149242362502 -4.426245272295244 False False False False 0.6516161476555574 4020.942328278188 4
1.023313239783315 True 0.07199427956617606 0.12930455717294093 -52.333517890434784 -135.89033845168012 -28.97375111358711 52.454767902231055 -3.2284344047124023 False False False False 1.558821438118507 11747.3036314231 3
0.6839450861193945 False 0.07848362162412857 0.08075393192363217 0.0 0.0 0.0 51.30962229460475 -2.5694710840675365 False False False False 4.179173839147607 38664.15711513361 3
0.7787067461813857 False 0.15349271971292333 0.0977381696426287 0.0 0.0 0.0 51.06075499292953 -0.4580588678402364 False False False False 0.8621772719709629 5662.852563807696 3
1.3684855529044695 False 0.3764567342655959 0.08479311959182984 0.0 0.0 0.0 50.15618805908206 -4.387538649818376 False False False False 2.362959431980042 19530.362696675977 3
1.4700465709585018 False 0.13047304358853024 0.02254130110321712 0.0 0.0 0.0 51.45480967602018 -3.7353296907650586 False False False False 1.2928656778043637 9330.044884530083 3
1.3410275759881038 True 0.2143743554425785 0.09331799413684902 -65.91408809760371 -160.0756630976312 -39.58123838358377 50.09192920149796 -1.6298068370191796 False False False False 1.6916171654941137 12988.2628017822 1
1.1068836672165636 False 0.09140399595919582 0.14714912777375075 0.0 0.0 0.0 51.65346530562175 -2.6086555464601977 False False False False 2.9474385044065943 25503.30159711125 3
0.9839004596077402 False 0.24589600218601154 0.019411691401904543 0.0 0.0 0.0 50.88469977609915 -2.285690535423977 False False False False 0.9495549565707302 6376.896661661633 4
0.9524541580319223 False 0.05571735520816354 0.11765965717604111 0.0 0.0 0.0 51.89634254808546 -4.984820810722372 False False False False 3.142646728395663 27542.772114094216 4
