 redshift luminosity_distance mass_1_source mass_2_source chi_eff chi_1 chi_2 mass_1 mass_2 radius_1 radius_2 lambda_1 lambda_2 theta_jn phase psi ra dec geocent_time prompt_collapse inclination_EM log10_mej_dyn v_ej_dyn Ye_dyn log10_mdisk log10_mej_wind v_ej_wind Ye_wind chi_BH Ebv trigger_time redshift.1 luminosity_distance.1 prompt_collapse.1 has_grb thetaCore log10_Ekin_iso log10_n0 afterglow_detected snr
0 0.0973481852422767 462.43685085786433 1.8103911977083569 1.3772551895199532 0.0490627017963826 0.107756066854489 -0.0280892684946971 1.9866294953838568 1.5113284828352287 11.913992396538449 12.166570216995686 62.10405083954167 424.19192702602703 2.0929646217481737 3.814341505229309 0.6109441177100492 4.031714774328658 -0.6194067288849439 2210689253.5552206 1 1.0486280318416197 -3.5247982129326187 0.2496228139858238 0.2123451252428076 -1.655317852268349 -2.0770057617907938 0.0866886886319062 0.3346681463230254 0.7978411437695909 0.29423192 69830.68139531506 0.0973481852422767 462.43685085786433 1 True 0.1459464046503555 51.10672376419603 -4.512163731110157 True 124.263
1 0.0909826071457512 430.3618239922296 1.4255935923250185 1.3348930632649008 0.0077490149746663 -0.0201475112340339 0.0375409961495346 1.555297814085026 1.4563451144215198 12.15475371077546 12.175432596660851 341.45783556312216 512.6026666416016 0.4405443278847699 0.6631384375354594 0.1134709641190926 3.5650160078951214 -0.1916180817415016 2217230239.699425 3 0.4405443278847699 -2.2472352278773164 0.2086029957943381 0.1674355206979547 -0.7703218638886713 -1.1730556709888131 0.1215050747090166 0.350136491664755 0.6969017841285802 0.062120058 69906.38725346557 0.0909826071457512 430.3618239922296 3 True 0.2380610010167275 51.3049171592303 -4.192394328010925 True 152.282
2 0.3692323762035379 2040.0342810914708 1.3612148135154083 1.340060339578852 -0.0073709220394608 0.0389174961479947 -0.0543900589171051 1.8638193936331584 1.834854003017672 12.16952434355074 12.173955533383324 454.7308704651748 501.0479109741033 0.0766644072552168 1.8026777873810584 2.527596336517981 0.7477219267478142 0.6060086405570477 2226771267.176313 3 0.0766644072552168 -2.288343644209168 0.2022278557764383 0.3217754882587608 -0.7526038913739418 -1.1898580128439766 0.1327895605302808 0.389064522821232 0.6739004807561969 0.092007235 70016.81581222585 0.3692323762035379 2040.0342810914708 3 False 0.0110972644233811 53.99916539313775 -3.0441889503801662 False 21.844
3 0.2015416519188576 1021.213050995796 1.4357864938274925 1.2440575790348032 0.014084073666613 -0.0870739585608745 0.1308321557988546 1.72515727559627 1.4947869985956523 12.151799584220408 12.1887261661586 326.2886319457921 777.3890995922687 2.909035715292783 1.633021532146868 2.980252875321697 6.095641892961814 -0.7112333392616429 2228853120.290215 4 0.2325569382970101 -2.1603887031182865 0.1999715542822036 0.2876055461040226 -0.7339839274747575 -1.284167589211524 0.0743593868823339 0.2634868314129774 0.6557989608811822 0.015557873 70040.9113343775 0.2015416519188576 1021.213050995796 4 False 0.0469038099765245 52.76202696794893 -3.846438292567532 False 37.445
4 0.2287267781814614 1176.9076830686338 1.715766007242029 1.2134905012938138 -0.0119724741678615 -0.0514867952455299 0.0438972082334639 2.1082076381917685 1.4910482740085544 12.005570319745166 12.191680292713654 95.00977003682964 896.777717922952 0.3396482784576986 2.2383572241323324 0.1047867351962221 2.6346904867788834 0.337879279802491 2222245186.152582 1 0.3396482784576986 -3.262961417432215 0.218765925420698 0.2635288578069227 -1.0 -1.497134701703612 0.0698160748028405 0.3133866100440627 0.7130527497732561 0.025825318 69964.43061519193 0.2287267781814614 1176.9076830686338 1 True 0.2796308725645389 51.08172595993272 -4.016522179810141 True 35.802
5 0.135612245490427 660.3792790578775 1.4280047385565322 1.2094416414345848 -0.0547399800585213 -0.063749313822446 -0.0441025331033615 1.6216596677231536 1.3734567382191567 12.153489188952443 12.191680292713654 337.6635603302862 914.1660301332864 1.210095347348531 5.579129544442316 2.4012348975548816 4.727051229768162 -0.525371235336775 2232734370.6089435 4 1.210095347348531 -2.1360006290671176 0.195332060167403 0.2722249036376281 -0.7094120061383805 -1.3653508290589058 0.1218668055171703 0.3189595500521488 0.6323195718304595 0.62595606 70085.83321306648 0.135612245490427 660.3792790578775 4 False 0.0997289254265835 52.16717655065364 -3.98631902891685 False 29.205
6 0.4346125078773794 2471.93828002822 1.98313439456142 1.2224839953916065 0.0038981206461544 -0.0252815919579356 0.051233948278034 2.845029407239647 1.753790830468711 11.637781563640766 12.190203229436127 25.851976062093488 860.663334706715 2.9330398827633952 4.290092417329687 2.2122937370811573 3.1979981868456573 -1.4909746254933298 2221681901.029582 1 0.2085527708263979 -3.5167641928227056 0.2348054084553115 0.2047145398237702 -1.0 -1.707735878497094 0.068758784240461 0.3010808801349466 0.750890219867819 0.13123272 69957.91111145349 0.4346125078773794 2471.93828002822 1 True 0.3127709300599521 51.1044201375866 -1.599294789964898 True 38.893
7 0.1017627996476664 484.8263702662004 1.872115128643581 1.3397037766459516 -0.0144790470410507 -0.0468077924405268 0.0306974572037531 2.0626268053971035 1.4760357836559956 11.83570804282948 12.173955533383324 46.19704259109219 502.2491177802409 0.8087943444908596 1.5396522985441643 0.0354994392513132 1.3726099162841152 0.5034079048422394 2227993220.9756126 1 0.8087943444908596 -3.5214699919255263 0.2479190579011647 0.2514952652335586 -1.156360781646124 -1.5644150672022992 0.0922811381558417 0.2630711190322775 0.7917365510819042 0.5569082 70030.95879601403 0.1017627996476664 484.8263702662004 1 True 0.0865830006341327 52.017051776958645 -4.929498038199175 False 62.863
8 0.2825677652063561 1496.4731160721428 1.4838607240908386 1.2587919085304484 0.0651996007341768 0.107184603837348 0.0157077850627856 1.903151932774672 1.614485924983741 12.1355518881676 12.187249102881072 264.8859565983937 725.8133362506867 2.357745173475548 2.183699790190006 1.2159404429609308 2.385865643706 -0.4937667487123048 2233707047.634541 2 0.7838474801142452 -2.112241561650489 0.2069417132993759 0.2026439902338235 -0.7116871091429902 -1.050665762556148 0.0621973151857468 0.2502151092186983 0.6805386734277529 0.16599375 70097.0910490109 0.2825677652063561 1496.4731160721428 2 True 0.048641714804348 52.68298531698983 -0.7182136271136654 True 21.522
9 0.0683506011163368 318.34968768610224 1.4992944187625428 1.2046306341088655 -0.0131615806785013 -0.0474904289693516 0.0295644211246095 1.6017720935353317 1.286967862073361 12.129682990944811 12.191680292713654 247.85937071764133 935.561712247588 1.882172137988496 2.786611942884909 0.9267662253262796 1.2403518998878216 0.5528783360768296 2234809185.791789 3 1.2594205156012972 -2.021493128794892 0.2027991544097802 0.2878464959659916 -0.6409078822365805 -0.8651654126274627 0.0646358380316312 0.269881170346912 0.6552070397843515 1.6201366 70109.84727768274 0.0683506011163368 318.34968768610224 3 False 0.1013269916212775 51.9278213314796 -3.7058117103511625 False 77.109
