redshift luminosity_distance mass_1_source mass_2_source chi_eff chi_1 chi_2 mass_1 mass_2 radius_1 radius_2 lambda_1 lambda_2 theta_jn phase psi ra dec geocent_time prompt_collapse inclination_EM log10_mej_dyn v_ej_dyn Ye_dyn log10_mdisk log10_mej_wind v_ej_wind Ye_wind chi_BH Ebv trigger_time redshift luminosity_distance prompt_collapse has_grb thetaCore log10_Ekin_iso log10_n0
0.3072860394549018 1647.9581819898672 1.3477702830384473 1.2147677747901071 0.0240501161978853 0.0457268859744714 0.0 1.7619212754083438 1.5880489531628037 12.172478470105794 12.191680292713654 483.3762910651602 891.7026624846009 2.695538193825413 5.355429507099613 1.668303367939345 2.256201989962788 0.7642633686756634 2226693316.3166537 3 0.4460544597643802 -2.285004025057532 0.1873278764464619 0.3338087095438941 -0.7621016598246734 -1.027938766863059 0.0995768757250562 0.3394836305190515 0.5991967199142122 0.025501212 70015.91360320202 0.3072860394549018 1647.9581819898672 3 False 0.23024885948369 50.8127304745368 -1.1127645550115304
0.2799464957143862 1480.581147009051 1.4180591798641515 1.3197140905368263 0.007817789631947 0.0 0.0162181609194278 1.8150398779827368 1.689163425527509 12.156230774052991 12.178386723215905 353.98651824517407 548.8394009932513 0.6463871196665282 3.899723407192413 1.0576956549501193 0.2913647331353387 -0.5150431783878723 2225492309.797459 2 0.6463871196665282 -2.24403940775696 0.2061692322245045 0.2161918576111973 -0.7702602721656502 -0.9980244082971932 0.074876170528512 0.3164677886045379 0.6873545733826477 0.022522036 70002.01306478541 0.2799464957143862 1480.581147009051 2 False 0.0833502782289997 51.914591534859774 -4.033112402285664
0.0675178068121922 314.28899940556977 1.3694151094539848 1.3460439825090091 0.0018087376552555 0.0 0.0036488801070113 1.461875014259796 1.4369259200807665 12.168047280273212 12.173955533383324 439.4340199860591 486.91215167792745 2.6873422918819565 4.6341186984351 1.4606956433591538 4.056937116716585 0.7120579779282747 2221563938.0208287 2 0.4542503617078368 -2.28409531110814 0.2037277811580436 0.2498918995378215 -0.7535879590548162 -0.9402293255399468 0.1051218015744362 0.309794949540658 0.6799953848327193 0.01901559 69956.54579885218 0.0675178068121922 314.28899940556977 2 False 0.1973059845945435 50.85794199062727 -2.580300748215823
0.1859315193956661 933.5966651520488 1.3840533326017812 1.3210135312480653 0.0018272035508617 0.0 0.0037416026876538 1.6413924716570656 1.5666315842552525 12.165093153718155 12.178386723215905 411.153155186712 545.5612829319878 2.896290628927912 5.295423444544412 2.3772798831926365 3.186113917860092 0.809313929643364 2222384968.7898874 3 0.2453020246618811 -2.2726825285170174 0.2026253369553175 0.2911385825524079 -0.7662655004048942 -1.2054160458500838 0.0631859447107096 0.3286483804882121 0.6747558381637065 0.013884742 69966.04846979036 0.1859315193956661 933.5966651520488 3 False 0.1137390676155067 51.90177071059552 -2.8779931138793327
0.6194416766812837 3781.192400146564 1.570542081483745 1.2661959693083558 0.0072736694700542 0.0131378173166137 0.0 2.543401301736549 2.0505305235438067 12.098625306229412 12.185772039603544 180.3569868024729 701.5334319260588 0.0759260310623509 1.6610512658492147 1.141712131283922 3.797059811987991 0.3310393045265163 2230648688.865888 1 0.0759260310623509 -3.2414619466649994 0.221955907777968 0.3383495162090331 -1.160721839246348 -2.2513024184346846 0.0552293641763826 0.3678699768251856 0.7092034055407371 0.036957502 70061.69337807741 0.6194416766812837 3781.192400146564 1 True 0.0334522657781557 52.86530366838002 -3.147383419607648
0.2348099877395824 1212.2776692155053 1.3384820379030724 1.270116021050408 0.0179021947752674 0.0348899942018882 0.0 1.6527709888127442 1.5683519483811017 12.175432596660851 12.185772039603544 504.2101711775889 689.4960107850269 0.8850377627699506 0.1180823278914499 2.444215808602052 4.116602935590886 -0.290072050761744 2240055072.510669 3 0.8850377627699506 -2.313350393004325 0.1923155163383882 0.1502366574028703 -0.7673429676909017 -1.2088828388101476 0.0548603490893431 0.2747777524772561 0.6282345005049754 0.12644906 70170.56355915127 0.2348099877395824 1212.2776692155053 3 False 0.0648740476603204 52.30472841688023 -2.531399310129866
0.5437678585701281 3230.5133972996014 1.7608565486246004 1.2860622210523371 0.0242945794844635 0.0420384103920559 0.0 2.718353743319386 1.9853815209819088 11.965552113368473 12.182817913048488 77.54339602921776 640.7107566450865 0.0564227742504377 0.6731636754331745 1.3031549839520091 1.5303623661061625 -0.5659549284400998 2237970566.8457723 1 0.0564227742504377 -3.378299458935719 0.2331208782497081 0.1996243082955974 -1.02384489889539 -1.6554616341667634 0.0865056917788564 0.2590450459310092 0.7556325119746455 0.03765884 70146.43733617791 0.5437678585701281 3230.5133972996014 1 True 0.1173491473363646 51.88533986570646 -2.617121646116047
0.1760918764459486 879.052884826854 1.3785172568561226 1.2028788446117296 0.002526148182413 0.004730437023823 0.0 1.621262947329039 1.4146960374965438 12.166570216995686 12.193157355991184 420.89615557086495 942.91517459845 2.753417084268316 4.388975350640994 2.4889855587952883 1.4136046366409516 0.2377579918294055 2223914794.893844 3 0.388175569321477 -2.217613244457702 0.1892586249906865 0.2265985598199286 -0.7402466194216092 -1.1488738910922744 0.0774995243207808 0.2084670585289114 0.6064876550215063 0.45537454 69983.754790438 0.1760918764459486 879.052884826854 3 False 0.3542543916413924 50.7550215982427 -2.1161708551897904
0.3118866438722644 1676.4729582063676 1.3139099657519064 1.2079638482844652 0.0033004246049936 0.006334722015577 0.0 1.7237009353205903 1.584711638844932 12.178654422024438 12.191680292713654 563.9163662098997 920.5997189836124 0.684374875018785 4.984962811063911 0.631616026987864 4.395211494767987 0.6704511970996195 2227748950.5787435 4 0.684374875018785 -2.353282943339104 0.1830431927082419 0.1643607298134197 -0.7683140935608807 -1.1420395947915392 0.0600582176788725 0.2474833195831367 0.576209292205306 0.016898602 70028.13159234657 0.3118866438722644 1676.4729582063676 4 False 0.0597255634809233 52.22760959490415 -1.0611878311264555
0.2568893910754447 1342.2475005590777 1.379868890747237 1.328603593174986 0.0153103195725679 0.0300518256193893 0.0 1.734342569855244 1.669907761206356 12.166570216995686 12.176909659938378 419.2944264443562 527.5595804166405 0.3844618802327643 3.24178157692182 2.6611556432359373 5.304463387840105 -0.701766979002558 2227218798.62994 3 0.3844618802327643 -2.277271677289586 0.2029808994775838 0.2308921652105092 -0.7632999991528909 -1.628008933090055 0.1149613757346191 0.3421940350274395 0.676483786144583 0.05584804 70021.99557442061 0.2568893910754447 1342.2475005590777 3 True 0.2276332528694904 51.49945076796244 -0.6230443008988189
0.1674441841880073 831.5592468056884 1.3541684949510062 1.2768963248870844 0.0082215523657559 0.0159739628226838 0.0 1.580916133841179 1.490705188300467 12.171001406828267 12.18429497632602 470.5733280068237 667.539133939544 0.7741759226049919 5.949483134626083 0.8045122495173392 3.607113450176607 0.6827859074305802 2228257538.964263 3 0.7741759226049919 -2.2938661882132223 0.1947299414642147 0.1994937391718505 -0.7686584759038414 -0.9806224516944474 0.0941131711855811 0.3299913920094349 0.6394838264215983 0.013451488 70034.01803199378 0.1674441841880073 831.5592468056884 3 False 0.0565844838442627 51.9929884613596 -3.39851618486326
0.9047471500238832 6008.558171472346 1.3955350928887034 1.3907328804150092 0.0016258031976918 0.0 0.0032572203076638 2.658141490938073 2.648994490414995 12.162139027163102 12.163616090440629 390.65053628339183 398.45869889909926 0.2655671009239131 3.3900919307465864 0.2066692149557988 4.872777020223041 0.4185365223953937 2229784808.5783687 3 0.2655671009239131 -2.2778280228166685 0.2113200725368314 0.2591243636317582 -0.7464242567713248 -1.2833636864839053 0.1409739000272242 0.2992560876132 0.7085318722487055 0.11463031 70051.69476363853 0.9047471500238832 6008.558171472346 3 True 0.2376336204020769 51.36556725828439 -0.0441883297473886
0.1231121155939587 594.7588422666769 1.4224997742906471 1.2651723182293746 0.0034991141456586 0.0066112287733181 0.0 1.5976267309354977 1.4209303589175062 12.156230774052991 12.185772039603544 347.20844681498005 704.3549302469368 2.558249472706044 1.1849098790340369 1.680431710238342 5.636903986070277 -0.1595157170469043 2236756419.2621512 4 0.5833431808837493 -2.1987797966176275 0.2007992055429981 0.3243341922738683 -0.7551211738263266 -1.1231448931318289 0.120347241082573 0.2519379123542825 0.6621757946852546 0.03868778 70132.38470210823 0.1231121155939587 594.7588422666769 4 False 0.3491376432552612 50.742013951408325 -0.6352722765595367
0.2015416519188576 1021.213050995796 1.344945608647883 1.2925644018459903 0.0159328207074895 0.0312451104648424 0.0 1.616008168355791 1.5530699666055414 12.173955533383324 12.182817913048488 490.54371013575286 621.2577063501572 2.909035715292783 1.633021532146868 2.980252875321697 6.095641892961814 -0.7112333392616429 2228853120.290215 3 0.2325569382970101 -2.305011662261794 0.1954029877354258 0.3049917985899785 -0.7635938337892506 -0.9857220114947924 0.08738906334388 0.2461424682972987 0.6435109918529315 0.015557873 70040.9113343775 0.2015416519188576 1021.213050995796 3 False 0.3507119482544975 50.50549004662411 -3.4128292146755657
0.0947322251864311 449.2255093854779 1.344005260485884 1.1610953467259606 0.003635453904388 0.0067761474237688 0.0 1.4713258694739806 1.2710884925749215 12.173955533383324 12.196111482546238 491.647589234693 1151.3623526440822 2.0665722970475944 3.116129192943137 1.3872542096202964 1.165051353643181 -0.1179558961439063 2234193145.6507936 4 1.0750203565421987 -2.25937373782434 0.1809508596447815 0.3075046519538378 -0.730792282569574 -1.2287419596613232 0.1446911726355456 0.3523506166086863 0.5586731097623228 0.04814049 70102.71718345826 0.0947322251864311 449.2255093854779 4 False 0.2856060969860474 50.78719728648741 -1.9440629167479573
0.1817147506490954 910.1566894703392 1.333092458597608 1.248085186631358 0.0096288032929086 0.0186436069378926 0.0 1.575335022303862 1.474880675108905 12.175432596660851 12.1887261661586 516.7233471860216 763.4829033494212 0.7162273653406891 2.0627990517605306 3.1018433074703595 5.974225103974325 -0.7638428636994972 2239967169.8968983 3 0.7162273653406891 -2.320523564807889 0.1893896061948409 0.226825250690376 -0.7693383413383853 -1.033417176228851 0.0647434642823903 0.2000140827030178 0.6126667421515447 0.012222869 70169.54616778817 0.1817147506490954 910.1566894703392 3 False 0.0444108086038814 52.380908892135714 -3.2625344742079685
0.0919590307963652 435.2657504374426 1.3331940843837535 1.3009046564505882 0.0070736842011469 0.0139760465978317 0.0 1.455793320247131 1.4205345878162623 12.175432596660851 12.181340849770962 516.3036006811192 597.9738757269624 2.2111567545985413 3.624136321721806 0.0749194349330524 1.2502124995703845 0.3888115962838328 2233778552.068371 3 0.9304358989912518 -2.31473865848527 0.1950543407322995 0.2050024247348426 -0.7569208530491128 -1.0848726819194754 0.1162669245820794 0.260139947811761 0.6423079885063784 0.4792832 70097.91864662466 0.0919590307963652 435.2657504374426 3 False 0.2060543147938716 51.107270382000486 -2.967218050952603
