redshift    gw_detected    grb_detected    DeltaOmega    telt_vr    lsstg    lssti    telt_ztf    ztfg    ztfi    telt_pstarrs    ps1::g    ps1::i    telt_ultrasat    ultrasat_custom    radio_afterglow    opt_afterglow    xray_afterglow    telt_vr_afterglow 
0.557    1    0    1029.00    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
4.421    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.733    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.877    1    0    1712.81    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.515    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
5.497    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.489    1    0    761.14    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.553    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.305    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.527    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.914    1    0    6134.53    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
2.091    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
3.999    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.453    1    0    1687.98    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.140    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.606    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
2.014    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
2.838    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.528    1    0    8936.90    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.896    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.909    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
3.304    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.590    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.638    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.459    1    0    623.71    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
2.600    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
2.805    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.851    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
2.755    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
2.137    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.810    1    0    1863.89    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
2.801    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.454    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.434    1    0    296.04    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.013    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
