2.529924460315811356e-11 1.061056542658331626e-19
3.388250358340275786e-11 1.748377360801863745e-19
4.534193393951996606e-11 3.481400530803891550e-19
6.063906204840654306e-11 7.235696462013625612e-19
8.105529549986297639e-11 1.478394066877636141e-18
1.082973933314382088e-10 2.930390776078932360e-18
1.446373552419667782e-10 5.641899121944470393e-18
1.930982240608487951e-10 1.059423002116533320e-17
2.577020962187361976e-10 1.947113873913071113e-17
3.438051539277393181e-10 3.509733109158312798e-17
4.585615636328632415e-10 6.205889883331610434e-17
6.115954287187466019e-10 1.074221652533680050e-16
8.159760546539420761e-10 1.815933128484715184e-16
1.089126010650489407e-09 3.030630359874154043e-16
1.454236052558293980e-09 5.045882419069746053e-16
1.942336671432479526e-09 8.422311865149296308e-16
2.594938314690063878e-09 1.411531690767987423e-15
3.467514217988022471e-09 2.373873715373724607e-15
4.634007960108933294e-09 3.997719866200747105e-15
6.192438954344848314e-09 6.718604206749000066e-15
8.272688652993305126e-09 1.124412424604293664e-14
1.104927593242644829e-08 1.876340854252841477e-14
1.475643291728922849e-08 3.118497956895558348e-14
1.970889735497690838e-08 5.152618039744467339e-14
2.632572910521135528e-08 8.486956608542477377e-14
3.516502225118395903e-08 1.394335497519057163e-13
4.696977740265593954e-08 2.280887427211776264e-13
6.273347483908848847e-08 3.721088159003433940e-13
8.378653660496106102e-08 6.056889815178987130e-13
1.119124938587397150e-07 9.811657249599662603e-13
1.494945787459246963e-07 1.583613775344372205e-12
1.997097944063331399e-07 2.551077878716457925e-12
2.667922020411514704e-07 4.093701717939936733e-12
3.563913025553868925e-07 6.540412645523779073e-12
4.760604135711306575e-07 1.041239764633979425e-11
6.358839833334149811e-07 1.646463993638848976e-11
8.493280941362010091e-07 2.584167185197533512e-11
1.134392595545115490e-06 4.053738484025322487e-11
1.515158886142251830e-06 6.379666683053320459e-11
2.023852790723855580e-06 1.005254778500272060e-10
2.703448954472551789e-06 1.566547990369636072e-10
3.611225104900582634e-06 2.367165729106948316e-10
4.823588552236768417e-06 3.443510896875091051e-10
6.443419579277493060e-06 5.189123192784857294e-10
8.607739713070064171e-06 8.003964831216833497e-10
1.149893636874578279e-05 1.222075384377412172e-09
1.536062253993252278e-05 1.840664232881080366e-09
2.051832901340982485e-05 2.760590056882571892e-09
2.740662826523875470e-05 4.139026028631402609e-09
3.660573453000552408e-05 6.191740673639039502e-09
4.889080206431381748e-05 9.209150203022340787e-09
6.530291145807526668e-05 1.371206844675259160e-08
8.724648098169552344e-05 2.059683963861539254e-08
1.165864591058295098e-04 3.084496203702282782e-08
1.557468128434561546e-04 4.452365840688363078e-08
2.079824595560220905e-04 6.307167397640025180e-08
2.778281019867990349e-04 9.402079368839615226e-08
3.710970097214408032e-04 1.394150435138111438e-07
4.958532161130662285e-04 2.058935871194809733e-07
6.627708429539969949e-04 2.991322000723916103e-07
8.851185858906678548e-04 4.190021139497827770e-07
1.182121931039049195e-03 6.138672612148689595e-07
1.579163125189286636e-03 9.046738284574128559e-07
2.109737844738957153e-03 1.293872407838154323e-06
2.818493586926062045e-03 1.880354588608162714e-06
3.765716520476744718e-03 2.781650054895630471e-06
5.030960975853379993e-03 4.109360631895754294e-06
6.720922964196391833e-03 5.848451530180642621e-06
8.983104702021195084e-03 8.461029691960461027e-06
1.199553224710597950e-02 1.247033984339945022e-05
1.603569652927125389e-02 1.797408012935252221e-05
