6.769551e-01 1.407769e+01 4.104345e+04 2.539062e+08 2.000000e+02
6.843951e-01 1.407336e+01 3.895763e+04 2.539062e+08 2.012700e+02
6.918882e-01 1.406924e+01 3.698116e+04 2.539062e+08 2.025482e+02
6.994338e-01 1.406532e+01 3.510459e+04 2.578125e+08 2.038344e+02
7.070318e-01 1.406160e+01 3.332692e+04 2.578125e+08 2.051288e+02
7.146819e-01 1.405806e+01 3.165055e+04 2.578125e+08 2.064314e+02
7.223840e-01 1.405470e+01 3.005726e+04 2.578125e+08 2.077423e+02
7.301380e-01 1.405152e+01 2.854396e+04 2.578125e+08 2.090615e+02
7.379437e-01 1.404850e+01 2.711332e+04 2.578125e+08 2.103891e+02
7.458011e-01 1.404565e+01 2.575593e+04 2.597656e+08 2.117251e+02
7.537098e-01 1.404294e+01 2.446797e+04 2.597656e+08 2.130696e+02
7.616697e-01 1.404039e+01 2.324741e+04 2.597656e+08 2.144226e+02
7.696807e-01 1.403798e+01 2.209079e+04 2.617188e+08 2.157843e+02
7.777425e-01 1.403570e+01 2.098814e+04 2.617188e+08 2.171545e+02
7.858549e-01 1.403355e+01 1.994986e+04 2.617188e+08 2.185335e+02
7.940177e-01 1.403152e+01 1.895827e+04 2.617188e+08 2.199213e+02
8.022307e-01 1.402961e+01 1.801982e+04 2.617188e+08 2.213178e+02
8.104936e-01 1.402781e+01 1.713208e+04 2.636719e+08 2.227232e+02
8.188061e-01 1.402612e+01 1.629169e+04 2.636719e+08 2.241376e+02
8.271681e-01 1.402454e+01 1.548994e+04 2.636719e+08 2.255609e+02
8.355792e-01 1.402304e+01 1.472586e+04 2.636719e+08 2.269933e+02
8.440392e-01 1.402164e+01 1.400407e+04 2.656250e+08 2.284347e+02
8.525477e-01 1.402033e+01 1.332150e+04 2.656250e+08 2.298853e+02
8.611045e-01 1.401909e+01 1.267159e+04 2.656250e+08 2.313451e+02
8.697092e-01 1.401793e+01 1.205387e+04 2.656250e+08 2.328142e+02
8.783621e-01 1.401684e+01 1.146649e+04 2.666016e+08 2.342927e+02
8.870626e-01 1.401582e+01 1.091027e+04 2.675781e+08 2.357805e+02
8.958103e-01 1.401486e+01 1.038191e+04 2.675781e+08 2.372777e+02
9.046045e-01 1.401396e+01 9.879012e+03 2.675781e+08 2.387845e+02
9.134446e-01 1.401311e+01 9.404416e+03 2.675781e+08 2.403008e+02
9.223299e-01 1.401231e+01 8.950860e+03 2.685547e+08 2.418268e+02
9.312599e-01 1.401156e+01 8.520285e+03 2.685547e+08 2.433625e+02
