inclination_EM log10_mej_dyn v_ej_dyn Ye_dyn log10_mdisk log10_mej_wind v_ej_wind Ye_wind chi_BH redshift luminosity_distance prompt_collapse
1.13669926451731 -3.864330316287276 0.28316120915043763 0.22269264598217361 -2.6356613595184952 -3.140832296570243 0.13301469093058294 0.3504458168306408 0.8624032830950215 1.329637811353949 9658.295421758768 1
1.4287788428226151 -4.346546508663708 0.3117902354266242 0.27357881238387843 -4.138277558506765 -5.110322470931482 0.06924765938133225 0.20448578069769385 0.9038387076839957 1.3928057824570856 10226.85558610144 1
0.9584201321577066 -1.7329344086093188 0.20791913820456115 0.20509378800381325 -0.46670549022794255 -0.7023522109105592 0.06563485317432974 0.27594723587259834 0.6305310257273454 0.8333594547729719 5431.271522366544 2
1.4397326287247227 -2.095262316662677 0.21059046514568291 0.1961767968579825 -0.7017846167853525 -0.9601095056965723 0.14609640860730994 0.361744345566599 0.6925113944219993 1.62178842393179 12333.141106773475 3
0.9401949565505633 -3.3937763923578714 0.2089632474226436 0.2773873921965948 -1.0 -1.5479438386050608 0.10365552998187544 0.3875360497063461 0.6903431339422076 2.266016400273818 18561.94827548572 1
1.3218776829507766 -3.6751237406169355 0.2486423975006058 0.3108799108485399 -3.0664151241159425 -4.052770871209334 0.08457715659928514 0.20693536158317305 0.7949677239933964 0.8170450309465302 5301.072648684029 1
1.2603211567313006 -3.76375281867789 0.2628496365940589 0.23777540958662327 -3.176017365003602 -3.8866051999745492 0.09523282391044346 0.22702215099197154 0.8300080723044018 1.843911272830701 14435.574283959792 1
0.3274613493838889 -3.6680035668351656 0.25579945302463847 0.24400477288901626 -2.8941931781804664 -3.644398171508092 0.1321414798684371 0.254587933139818 0.8138966190361155 4.057732452823209 37338.96311392147 1
1.2514785715395302 -2.5776307071338653 0.17367726823056662 0.34679927725642834 -0.7474132000867105 -0.9366366660791574 0.07971525717709324 0.22031524771334604 0.516615407219204 0.752273408784359 4790.884411372867 4
0.4694807777228275 -4.674459272635658 0.2819391445964632 0.33141805054567497 -4.924375765653844 -5.477526059966784 0.05380669945546836 0.2354291334427263 0.8673637929878739 0.7430701896737405 4719.296196651566 1
1.4008699221561176 -3.5207236699067344 0.24913094224116672 0.1523315044250164 -1.7270762672543882 -2.5429537242949496 0.06522155252428573 0.24192403625757256 0.7969437966700722 1.7281547244764293 13333.238494415187 1
0.9909108301176129 -3.931560620402697 0.26781604448279284 0.22366615949184787 -3.753539913479772 -4.320395225449026 0.1427960837585489 0.3225006818281635 0.8409868828507867 1.6306146615527557 12415.637100878255 1
0.7726366450027092 -3.707675962004743 0.22902489529257575 0.19920656068136333 -2.522057423811617 -3.1340496760591154 0.06471404635641195 0.23614395237928498 0.7251267509989215 3.3493314156924936 29723.1666314879 1
1.3961852400821242 -3.517506271702795 0.23263744806970066 0.19338043645694397 -2.407204296775855 -2.869055727400292 0.11974676171060827 0.38115151345161785 0.741731099468749 1.794902251414025 13967.165242927977 1
1.471180581970813 -4.340015676229787 0.29177963959222764 0.25252850275806143 -4.546339744550765 -5.8978377864912295 0.050412166668611605 0.3445369962835553 0.8818493311965164 1.646568364282487 12564.981625646838 1
1.517546742742398 -1.8541920375009548 0.20218819915920339 0.26804531601103326 -0.5255029511125568 -0.8608173854496028 0.13989617204502602 0.2548822702991468 0.6309418598049464 0.7184022894931766 4528.565832514227 4
0.2524353248499395 -2.2771788147079906 0.19578937845202804 0.24918846925336086 -0.7696872677122185 -1.2669804053638902 0.09344544064189228 0.3731942691271963 0.6440024405585424 3.1401673865122635 27516.74438557352 3
1.4876768312112156 -3.4660696718055504 0.23093449797636867 0.2746126200865518 -1.0 -1.4678684329918525 0.06723521433379988 0.34097723321134493 0.7464956285736336 0.6767111636466014 4210.141907368632 1
0.5210785384415711 -2.3619036263683646 0.18766115969328112 0.16872074185838065 -0.7611186243730298 -0.8799783954859818 0.08731478633160118 0.37885644699013526 0.6048445932622237 1.5800715996250994 11944.477333050889 3
1.0816322002280447 -3.5321888054289197 0.25025626178601446 0.1507125810543536 -1.7328446968142655 -2.21053529878563 0.08225876454867707 0.32521830676518215 0.7995224666445487 1.2823728398353704 9236.759597739852 1
0.2625546415362204 -1.7364806198829987 0.20511927427638366 0.2408348094248674 -0.46725255128616494 -0.642581651755762 0.08932541704897475 0.3351578123080798 0.6208117758828524 2.959321500838383 25626.869459848163 3
0.9378750980766399 -4.321315724395627 0.252555287996459 0.16698758274332437 -4.0967162714535945 -4.685652808837851 0.14707443965099326 0.29164456865684757 0.805323985823714 2.1554548094580697 17466.360428283366 1
1.3227237853563216 -1.799054939356604 0.21110963701184554 0.23556920815711774 -0.49895625645131475 -0.68268919994216 0.13907653530048708 0.37460721750163156 0.6551628627128977 1.5066537454958535 11265.639225294868 2
0.550374483041518 -4.1334885911828465 0.25335493659102004 0.33527392891869134 -3.9784515441177293 -4.423201893992731 0.1041572739107143 0.38375503268248345 0.8074515536051793 2.107704979497894 16996.261694608507 1
0.8318423669157676 -1.8045806138395342 0.197931630565507 0.331550768895248 -0.4949661376854612 -1.1055236223428282 0.06729362420529919 0.35265990789848317 0.6046497237961755 0.9946816143944128 6752.261504484184 4
