 inclination_EM log10_mej_dyn v_ej_dyn Ye_dyn log10_mdisk log10_mej_wind v_ej_wind Ye_wind chi_BH redshift luminosity_distance prompt_collapse
0 1.13669926451731 -2.246573333907369 0.1814024125798378 0.32970392606896964 -0.7264761367512907 -0.9929437835545042 0.1290654918038775 0.32406282514493423 0.5608346835763215 1.329637811353949 9658.295421758768 4
1 1.4287788428226151 -2.2969915124461875 0.19969369359431854 0.22794973837986138 -0.7513426804928794 -1.0540351547334637 0.1269332581063475 0.2543653058704076 0.6633680140717204 1.3928057824570856 10226.85558610144 3
2 0.9584201321577066 -2.273744250247877 0.1990250890336943 0.1612293682212435 -0.7689681274267272 -1.339240820056589 0.0510014775495542 0.33644417559443107 0.6589270996673624 0.8333594547729719 5431.271522366544 3
3 1.4397326287247227 -2.1729397767974414 0.186588623729099 0.1798820880638431 -0.7065156152767286 -1.1172104234758555 0.12983270793887236 0.20831725030483922 0.5885002213443142 1.62178842393179 12333.141106773475 3
4 0.9401949565505633 -2.3161954466448504 0.19559165055952982 0.3208220558248701 -0.7480137196987802 -1.2195840171714423 0.14983166915906654 0.21804223593167896 0.6449620780552031 2.266016400273818 18561.94827548572 3
5 1.3218776829507766 -3.296366651421547 0.22357651411542667 0.1659630144854593 -1.0 -1.6623514099825583 0.14455253378270544 0.23628851831456843 0.7275505063611494 0.8170450309465302 5301.072648684029 1
6 1.2603211567313006 -2.339877638801016 0.1910973367597938 0.1572184231697723 -0.7562845511014367 -0.9053159382880941 0.05808129550106916 0.36934208363893417 0.6230399294916995 1.843911272830701 14435.574283959792 3
7 0.3274613493838889 -2.179818042402436 0.19738363428236638 0.341802030557609 -0.7403610209456598 -1.1411346109879112 0.07336041089331864 0.3066774604538696 0.645299959482216 4.057732452823209 37338.96311392147 3
8 1.2514785715395302 -2.2759615693652053 0.2043097189025862 0.23910727463481057 -0.7621277130100541 -1.1191814746833353 0.05173036386941618 0.2113081919166556 0.6819249873838001 0.752273408784359 4790.884411372867 2
9 0.4694807777228275 -2.2609415428188644 0.1837135982269072 0.1598640806271189 -0.7423611084693309 -1.0459246624143814 0.08238206671949701 0.33309646198324183 0.5763170391555413 0.7430701896737405 4719.296196651566 4
10 1.4008699221561176 -2.2696409522255254 0.20106326486455883 0.18426077416484676 -0.7685384251618521 -1.3815491568113365 0.1281653325711472 0.2274628202897709 0.6677832731853562 1.7281547244764293 13333.238494415187 4
11 0.9909108301176129 -2.3131627208460843 0.18887441319944875 0.3301614947256413 -0.7693900313777641 -1.0000874654872074 0.0717916551877549 0.27658701653140316 0.6094818301507966 1.6306146615527557 12415.637100878255 3
12 0.7726366450027092 -2.28299584818475 0.20275851728576233 0.30269888004063483 -0.7587775915418113 -1.0892615917284612 0.09676257825901186 0.30891499384727267 0.6758080631386095 3.3493314156924936 29723.1666314879 3
13 1.3961852400821242 -2.296465339832073 0.19990950206630853 0.20604710979390403 -0.7506486463608828 -1.0091960347740736 0.06251391856248253 0.22869710279513927 0.6642398301370079 1.794902251414025 13967.165242927977 3
14 1.471180581970813 -2.361449236737937 0.18856196345665155 0.21136438605772656 -0.7536938481485517 -1.0609489594073263 0.11031740245176527 0.30031244256932976 0.6097947622066817 1.646568364282487 12564.981625646838 3
15 1.517546742742398 -2.293489357185693 0.19913477527112605 0.33359765715529993 -0.7598015072436128 -1.3382033857125355 0.11163297445349862 0.2012140198366274 0.660538639253819 0.7184022894931766 4528.565832514227 3
16 0.2524353248499395 -1.9040809272336587 0.21190818893463753 0.1803970987283913 -0.5621232678837764 -0.9163109414922477 0.1251666726644446 0.3465607462686742 0.6749241425251958 3.1401673865122635 27516.74438557352 2
17 1.4876768312112156 -3.4860323958259936 0.24440236823010364 0.16630376644552447 -2.0470916881778654 -2.6582714736095445 0.12691428563287996 0.2313982909314882 0.7848835064267167 0.6767111636466014 4210.141907368632 1
18 0.5210785384415711 -2.4868180574375898 0.17823151275339733 0.21174736432868504 -0.7509969211421723 -0.9409149646043116 0.08625384018212685 0.22679202196145168 0.5484178715714537 1.5800715996250994 11944.477333050889 4
19 1.0816322002280447 -2.277024566856328 0.20472429829186056 0.19773685830179183 -0.7604914953642453 -1.3655546860080934 0.10458622602332135 0.25222185604924363 0.683544299127914 1.2823728398353704 9236.759597739852 2
20 0.2625546415362204 -2.3132678810556127 0.19249747644488457 0.20485368398117604 -0.7670436599348857 -1.0089489530138214 0.1252809921381507 0.3584314445205884 0.629179792706764 2.959321500838383 25626.869459848163 3
21 0.9378750980766399 -3.4684783372557115 0.23941865734852685 0.20764904031246723 -2.251761467939776 -3.275668154113922 0.08150899859498353 0.39553165958359265 0.7686438875822053 2.1554548094580697 17466.360428283366 1
22 1.3227237853563216 -2.2972346191452893 0.1999448399545527 0.22730131565258352 -0.7468986507532238 -1.0776271159288082 0.10866424187327295 0.3226011064526594 0.6644821813150998 1.5066537454958535 11265.639225294868 3
23 0.550374483041518 -2.2893915746133824 0.20196566681695127 0.18569154673913613 -0.7517869879963219 -1.007951755018933 0.14720245391429965 0.3513462465774193 0.6728711744018341 2.107704979497894 16996.261694608507 4
24 0.8318423669157676 -2.277787089132348 0.20667788956610267 0.2747533789092097 -0.7555370633772637 -0.9199172822341545 0.11688458414871387 0.3784652561968512 0.6914088137307506 0.9946816143944128 6752.261504484184 2
25 1.0537935264889708 -2.2950037834218486 0.20019894918106862 0.29875595176294845 -0.7518011615109818 -1.0953687849273537 0.06626708159701523 0.29488577166308033 0.6654272138853374 1.3772014321705297 10085.867252733617 3
26 1.434237840308639 -2.2940331577553805 0.20067793698372727 0.19919770124306171 -0.7498605694073871 -0.8954276834701247 0.11248344637117291 0.22675475385293575 0.6674770595573386 0.6527750187864733 4029.637499152696 4
27 1.3092411647475233 -2.150501547234757 0.21100440963209272 0.344053458831325 -0.7381303432366538 -1.1125275383269684 0.08609522672691913 0.3415557520233382 0.6986765355360287 1.3981925043582817 10275.605898234506 3
28 0.46472920234666854 -2.276731217401961 0.20345835190695766 0.23178095023107465 -0.7629271418851497 -0.8840178890328836 0.05445980961483953 0.21105750392635436 0.678363372112185 1.3979365383875475 10273.28845707556 2
